역코드,역명,영문
95,다대포해수욕장역,Dadaepo Beach
96,다대포항역,Dadaepo Harbor
97,낫개역,Natgae
98,신장림역,Sinjangnim
99,장림역,Jangnim
100,동매역,Dongmae
101,신평,Sinpyeong
102,하단,Hadan
103,당리,Dangni
104,사하,Saha
105,괴정,Goejeong
106,대티,Daeti
107,서대신,Seodaesin
108,동대신,Dongdaesin
109,토성,Toseong
110,자갈치,Jagalchi
111,남포,Nampo
112,중앙,Jungang
113,부산역,Busan Station
114,초량,Choryang
115,부산진,Busanjin
116,좌천,Jwacheon
117,범일,Beomil
118,범내골,Beomnaegol
119,서면(1),Seomyeon
120,부전,Bujeon
121,양정,Yangjeong
122,시청,City Hall
123,연산(1),Yeonsan
124,교대,Busan Natl Univ. Edu.
125,동래(1),Dongnae
126,명륜,Myeongnyun
127,온천장,Oncheonjang
128,부산대,Pusan Natl Univ
129,장전,Jangjeon
130,구서,Guseo
131,두실,Dusil
132,남산,Namsan
133,범어사,Beomeosa
134,노포,Nopo
