,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,프롬엘키친,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210315_63%2F1615782230975oPaUG_JPEG%2F8592930B-B6E4-4CDF-B3A9-3EEC8FAFA14D.jpeg,157,161,7,9,9.72
1,얼크니손칼국수,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191110_141%2F1573356958184O3Nyf_JPEG%2FTQ7DS3sDhx_Wj5QKdiE1_f41.jpeg.jpg,1600,331,9,9,9.53
2,양자강,4.29,,72,124,5,9,9.21
3,오동통치킨,4.61,,240,66,8,9,9.59
4,태평양횟집,4.38,,174,183,7,9,9.34
5,보고커피 남산본점,4.57,,382,56,9,9,9.57
6,맥,4.66,,66,25,5,8,9.5
7,고래야,4.62,,20,7,1,4,9.06
8,부산모밀,4.49,,382,90,9,9,9.49
9,고려해장국,4.35,,443,48,9,8,9.27
10,해적,4.27,,60,65,4,9,9.17
11,정가네양곱창,4.46,,72,49,5,8,9.3
12,김가네국수,4.53,,153,29,7,8,9.41
13,초심한우정,4.35,,184,36,8,8,9.25
14,금빛코다리 본점,4.39,,475,51,9,8,9.31
16,크렘크렘비,4.72,,22,20,1,7,9.4
18,청룡갈비,4.42,,213,20,8,7,9.24
19,맥시칸치킨 남산점,4.26,,82,6,5,4,8.78
20,범어사가야밀면,4.34,,107,6,6,4,8.88
21,남산뭉티기,4.69,,53,21,4,7,9.43
24,퇴근길회도매수산,4.48,,41,18,2,7,9.18
25,나래향,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161129_99%2F14804013807154xLHS_JPEG%2F177079556640378_3.jpeg,64,2,5,1,8.77
26,온천장소문난손칼국수,4.39,,211,74,8,9,9.37
28,정일품축산도매센타 남산1호점,4.39,,221,26,8,8,9.29
29,브레드빈,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210128_138%2F1611796271046MRhd4_JPEG%2Flyb_Zs8SEQtbhYbRztc3bikn.jpg,425,4,9,3,9.11
30,가족 숯불갈비,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210428_100%2F1619594267385zvEdi_JPEG%2FSNdZO8QHDbMjse31vVrpmuPS.JPG.jpg,127,25,7,8,9.38
31,명랑핫도그 남산점,4.65,,76,7,5,4,9.17
32,최돼지,4.82,,188,15,8,7,9.64
33,옛날가마솥 장수통닭 남산점,4.26,,63,23,4,7,9.0
34,고집센그집갈비탕 남산점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170726_258%2F15010591789328eAKd_JPEG%2F186676578278264_0.jpeg,335,23,8,7,9.36
35,가마치통닭 남산점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190402_48%2F1554174005019Gqxpf_JPEG%2FkKxiewxN9FWD0XXbgfItkMOc.jpg,68,2,5,1,8.76
36,장수원돼지국밥,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150903_289%2F1441256307692cGjhz_JPEG%2F166780545325734_0.jpeg,55,20,4,7,9.12
37,커피베이 부산범어사점,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210518_13%2F16213028254162wqIG_JPEG%2FSn_l8t0Ibceo72enSdc-Ckvl.jpg,190,1,8,0,8.46
39,장가원,4.75,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_276%2F1548854081843qrixU_JPEG%2FvdVpllOF-NOc7Jk7qbB7oqnd.jpeg.jpg,49,17,3,7,9.47
40,이삭토스트 부산팔송점,4.76,,194,3,8,2,9.18
41,와와횟집,4.41,,42,4,3,3,8.81
42,기장횟집,4.86,,113,85,7,9,9.82
43,청송맷돌순두부,4.31,,395,35,9,8,9.23
44,불막열삼 범어사점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170727_53%2F1501135274285bcMP1_JPEG%2F186677553134205_0.jpeg,102,14,6,6,9.12
45,어울림커피,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200116_199%2F1579145147922Frqd3_JPEG%2FhfS0MO4OlN1kPGn3iv9-jszm.jpg,99,24,6,8,9.29
46,맘스터치 범어사역점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210222_135%2F1613961758118sCz07_PNG%2FuRWGvOFJAoz3v7SmWWCEWFjx.PNG.png,323,13,8,6,9.31
48,가야할매밀면전문점,4.46,,379,47,9,8,9.38
49,홍이네횟집,4.29,,74,142,5,9,9.21
50,고봉민김밥인 부산남산점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220214_87%2F16448042313851HqxD_PNG%2F%25C0%25DA%25BB%25EA_1.png,626,7,9,4,9.05
51,부부스시,4.62,,112,42,7,8,9.5
52,히노아지 남산점,4.25,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190522_33%2F1558515493866VHcAA_JPEG%2FUnQpktHOFUQSLqDNKfKLKhHE.jpg,181,49,8,8,9.15
53,이디야 남산역점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,103,7,6,4,9.03
54,마당 국수,4.7,,29,3,1,2,8.98
55,호호사직닭발 남산점,4.56,,79,10,5,5,9.16
56,호호감자탕,4.42,,232,30,8,8,9.32
57,명동칼국수 남산점,4.48,,66,11,5,6,9.16
58,배스킨라빈스 부산남산,4.45,,1018,22,9,7,9.29
59,남해횟집,4.54,,64,13,5,6,9.22
60,처갓집양념치킨 남산점,4.56,,106,3,6,2,8.94
63,가마치통닭 남산역점,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210705_64%2F1625465472508HTJHi_JPEG%2F8bXLgpor54UXSL7xnwWDlwaS.jpg,136,9,7,5,9.14
64,소풍경 남산점,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200819_150%2F15977637205445EC5H_JPEG%2FbM79CSp_l36_5YTlQieHXwX2.jpg,105,5,6,3,9.1
65,이디야커피 부산범어사역점,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,187,3,8,2,9.0
