,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,신선식당,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200807_298%2F1596790597743BMlOw_JPEG%2FFP5ROuIPRM-HCiYuT-L7wwFF.jpeg.jpg,606,329,8.89
1,감포참가자미,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190308_120%2F1552012580100OwemJ_JPEG%2Fb2N3MqreHI-WW0TSh4nWZNht.jpg,335,69,8.7
2,코소롱,,,671,435,
3,석화한정식,4.5,,179,162,8.6
4,가미스시,4.47,,407,118,8.85
5,철마한우식육식당,4.55,,172,26,8.65
6,창현수산,4.49,,87,53,8.59
7,밀양가산돼지국밥,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_156%2F1593394545674uh5rm_JPEG%2FLRuuj0UqKCjS8rHoDxqhLwfj.jpg,819,206,9.08
8,무봤나세발낙지,4.57,,58,50,8.67
9,청림식당,4.3,,235,77,8.54
10,대지숯불갈비,4.46,,283,223,8.76
11,조방낙지 범일직영점,4.43,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fblogfiles.naver.net%2F20141204_292%2Fkkimjhyeon_14176589828380cF5Y_JPEG%2F20141127_195136.jpg,1041,232,9.08
12,전통본가밀면,4.28,,353,76,8.59
13,골목게장,4.78,,112,35,8.88
14,길 세이로무시 범일점,4.61,,358,304,9.01
15,조방제일한우,4.38,,734,188,8.9
16,오소리순대,4.09,,109,27,8.19
17,776마제소바,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210413_15%2F1618282303486tLint_JPEG%2F2IRURgFXrad4ZY6Pj2XzBvFB.jpg,40,16,
18,일생상회 부산본점,4.58,,125,183,8.68
19,백산키친,4.52,,139,386,8.71
20,오별난멸치국수 범일점,4.46,,522,175,8.91
21,팔도통닭,4.67,,175,96,8.77
22,신향양다리구이,4.54,,147,47,8.64
23,하누소뒷고기 범일점,4.47,,177,76,8.57
24,설빙 범일점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200701_49%2F1593586364808RCGLl_JPEG%2F_MQvGuN7tuMuWcQatO5aes7n.jpg,1067,28,9.07
25,보리에식빵,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200109_35%2F1578552975771XQaPT_JPEG%2FSMFzMVR3TUl6w_LlhD_w8TXi.jpg,565,19,8.77
26,송죽일식,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180910_80%2F1536547607703uT76z_JPEG%2FH66xS5l91jBqUMQCL2lxD3fW.jpg,77,108,8.55
27,황금고래촌,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220526_201%2F1653539195792zgpGN_PNG%2F%25B0%25A3%25C6%25C71.png,78,45,8.49
28,조방왕돈까스,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2F20141016_266%2Fehlsj_1413441081245d9mpC_JPEG%2F20141001_120136.jpg,660,125,9.1
29,고려홍삼삼계탕,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_40%2F1441065556089YD3eg_JPEG%2F20782707_0.jpeg,512,141,8.9
30,날마다대박나는집 범일점,4.43,,322,46,8.74
31,밥상앤쿡,,,12,9,
32,국제오징어,4.25,,110,59,8.35
33,참숯골,4.26,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190127_209%2F1548584589814MICYi_JPEG%2FEsmA1JjuMQeN5KUgeVdAgJNO.jpeg.jpg,632,90,8.78
34,장춘족발,4.26,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191118_292%2F1574088165553bQAVj_JPEG%2FjDmAwTNOspLTc5rjgNyGjra-.jpg,242,36,8.5
35,써브웨이 부산범일점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200103_82%2F1578043664049aVIC6_JPEG%2FoSo1QnUl87teoesK_lCcVLN0.jpg,741,15,8.94
36,클레이디뷔페,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220121_248%2F1642747293818g6PpO_JPEG%2FSU020019.jpg,11,126,
37,사계절밀면칼국수,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171226_137%2F1514259146026HwcIX_JPEG%2FiIpjveXFvcSeR32bLiTKXefh.jpg,290,28,8.67
38,인얼스커피 현대백화점 부산점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200504_128%2F1588602537857mkmuo_JPEG%2FXMHl815MTB3WtmqTY6Ntu-Rf.jpg,472,27,8.82
39,한돈숙성왕소금구이 범일본점,4.42,,293,155,8.66
40,동촌황정순수육전골,4.41,,110,53,8.51
41,장어촌,4.28,,186,26,8.38
42,고메회초밥,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201011_54%2F1602396257314bAiOJ_JPEG%2FMS5B2j9tSNyif0xw_onU9djG.jpg,29,7,8.71
43,투썸플레이스 부산범일점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200504_110%2F1588547063950OuQuF_JPEG%2FVDbssEWxZvwr_LFT14eO0ZZM.jpg,711,33,
44,꼬꼬뱅 본점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190427_17%2F15562948412428h1Cs_JPEG%2FPp57sKpYSYpfpNa8X1YUjD9v.jpg,141,129,8.65
45,본가자연산장어구이,4.48,,211,37,8.72
46,유연생고기전문점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180406_289%2F1523001868892RNWFa_JPEG%2FHv7nY3cOx-fQKtpM8qoJE0kM.jpg,343,72,8.74
47,역전할머니맥주 범일점,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210908_253%2F1631040285299sBQ40_JPEG%2FXN2vw9mMsJhBo-E-fD40ctGB.jpg,110,6,8.46
48,조방갈비,4.37,,95,24,8.47
49,맥켄양념치킨,4.67,,50,17,8.77
50,교촌치킨 범일1호점,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_64%2F1441043073169DUdRY_JPEG%2F116659505765354_0.jpg,,8,
51,베네치아,4.83,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210310_287%2F16153530450833yMH5_JPEG%2F1Qb52sV8mU-MzMvmoug3BjKQ.JPG.jpg,17,45,8.93
