,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,정가네남도밥상,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220623_84%2F1655983819852flfWs_JPEG%2F1592043682791.jpg,219,155,5,7,9.29
1,스콜,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171219_116%2F1513672816688bmS8M_JPEG%2FQ2SAvA_V_9Lh7M_lbwYvDlY8.jpg,1302,1145,9,9,9.51
2,맛찬들왕소금구이 서면점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_86%2F1612443702490itpAf_JPEG%2FIgBkGhWODsI04WI8er6uWgZ6.jpg,1616,892,9,9,9.54
4,주차장 산 곰장어,4.3,,237,142,5,6,8.98
6,미미루,4.43,,307,269,6,8,9.29
7,사미헌,4.38,,1764,642,9,9,9.38
8,소설담 서면,4.51,,163,352,4,8,9.33
9,동방축산,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200626_162%2F15931563295661IOwl_JPEG%2F1uXDA7BvK7yTTSP6bFGabW4i.jpg,856,553,8,9,9.65
10,제뻬,4.92,,75,108,2,6,9.54
11,팔미분식,4.36,,1149,678,9,9,9.36
12,목구멍 서면점,4.61,,468,210,7,7,9.41
13,수림식당 서면점,4.47,,579,198,8,7,9.29
14,삼광보리밥,4.3,,1000,451,9,9,9.3
15,사리원냉면,4.17,,104,165,3,7,8.89
16,탄탄면공방 부산롯데서면점,4.38,,1110,229,9,8,9.3
17,토끼정 롯데서면점(부산본점),4.32,,1187,351,9,8,9.24
18,서면연탄갈비 서면본점,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210221_167%2F1613907197400k6jjH_JPEG%2F1PSpaVrX4RAYpPiix0yyaMhp.jpg,428,242,7,8,9.64
19,부산쪽쪽갈비,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201020_82%2F1603205029158mR4iJ_JPEG%2FAM22C08__w6bvYCXl_r4qWkK.jpg,617,241,8,8,9.42
