,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,국제밀면 본점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_35%2F1441027356543HcuVA_JPEG%2F156155406560651_0.jpg,2022,1179,9,9,9.42
1,서가원국수,4.66,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210217_36%2F16135320666049VCin_JPEG%2F%25C4%25E1%25B9%25B0%25BC%25AD%25B0%25A1%25BF%25F8.jpg,230,95,5,6,9.34
2,홍고기집 동래점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_46%2F1441089707892WogoT_JPEG%2F156167543760910_0.jpeg,93,315,2,9,9.31
4,밀보스79,4.55,,419,300,8,9,9.53
5,쌍둥이돼지국밥,4.38,,852,253,9,8,9.3
6,호야스시,4.36,,303,84,6,5,8.98
8,보느파티쓰리,4.67,,1008,428,9,9,9.67
9,모노스코프,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180117_161%2F1516200317772HDKPl_JPEG%2F6AATdIf5f1J3KV8gmnmikXSH.jpg,313,172,7,8,9.38
11,엄지척닭도리 본점,4.53,,435,398,8,9,9.51
12,그린애플,4.79,,168,226,4,8,9.61
13,진국명가 온천천점,4.31,,1752,302,9,9,9.31
14,대소가,4.51,,525,164,8,8,9.41
16,경성코페 부산동래점,4.46,,760,115,9,6,9.22
17,국제밀면 법조타운점,4.35,,413,124,8,7,9.17
18,흥안양꼬치,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_186%2F1647836253045Ww24N_JPEG%2F%25C8%25EF%25BE%25C8%25BE%25E7%25B2%25BF%25C4%25A1_%25B0%25A3%25C6%25C71.jpg,149,296,3,8,9.58
19,해운대하얀집오징어 동래점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200509_88%2F1589035744602qBgU3_JPEG%2FodM_e2QELEXTFk9Tx3iTk3yf.jpg,209,103,5,6,9.22
20,스타벅스 부산교대점,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,1862,39,9,4,9.07
21,무권리,4.84,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220308_180%2F1646725399856qF3Iv_PNG%2F20220308_163857.png,100,123,2,7,9.54
23,산장1988,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220120_65%2F1642690315532iO7xB_JPEG%2FKakaoTalk_20220120_235127987.jpg,183,157,4,7,9.33
24,밀회관 부산동래역점,4.78,,202,109,5,6,9.46
25,본토,4.42,,341,51,7,4,8.98
27,하남돼지집 부산동래점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170105_268%2F1483602612985hWX0H_JPEG%2F186055568032025_1.jpeg,253,124,6,7,9.18
28,외식일번가 연제점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211213_287%2F16393656549301gpt1_JPEG%2FDSC01215-1.jpg,2857,329,9,9,9.41
29,스시키라쿠,4.83,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200407_291%2F1586239305449y5XHz_JPEG%2F5l0-FMi87vdJbzjLzgHzpnir.jpg,151,177,3,8,9.63
30,심야의미식가,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190218_1%2F1550459081670dESdX_JPEG%2F4KmCMEAmu_8i4GrNeM6nds5G.jpg,264,212,6,8,9.31
31,세광양대창 부산동래점,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201202_157%2F1606872630389s2Uhu_PNG%2FnfZFpG2DUQv8ZA4XXzbIEhY_.png,230,89,5,6,9.18
32,골든리지,4.57,,1815,2001,9,9,9.57
34,카페게더,4.5,,567,408,8,9,9.48
36,로바타 탄요,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200222_298%2F1582376882747YlurS_JPEG%2FIodYw180CAdYNlOVY9OvdsC_.jpeg.jpg,228,297,5,8,9.53
37,공담,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191016_97%2F1571231705921hQIKy_JPEG%2F2v-ul1w44uguHwTggkgsHrY0.jpg,382,399,7,9,9.55
38,빈체스트,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210125_41%2F1611547697570vxUoE_JPEG%2FUcm7bwh3FwGzln40LWlyCYj7.jpg,316,50,7,4,9.17
39,길 세이로무시 시청본점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190701_73%2F1561950971480Uuz2L_JPEG%2FxZYyjWmhJT1_tKlakigMnLC1.jpg,302,680,6,9,9.47
40,부산알찜 미남점,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210318_208%2F1616067391090lAVzR_JPEG%2FCJ-GjhlCh30u7tBVKIEw6voB.jpg,76,28,1,3,8.86
