,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,신발원,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211118_138%2F1637221330910vAz3X_JPEG%2F%25C4%25B8%25C3%25B36.JPG,5375,2731,9.46
1,초량밀면,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_116%2F14431611026117LI9x_JPEG%2F166875553478638_7.jpg,4160,3560,9.3
2,본전돼지국밥,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_107%2F14431609930901BjP3_JPEG%2F166875553329534_0.jpg,4020,3302,9.4
3,육전밀면,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181218_37%2F1545094716878Wp1Rf_JPEG%2F2aoDRTmFlLtcws6IPYZ2N-di.jpg,914,1516,9.27
4,홍성방 본점,4.3,,742,900,9.03
5,뽕사시미,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220104_139%2F16412635821366Uh9U_JPEG%2F20211105_185112.jpg,1358,1099,9.5
6,원산면옥,4.1,,1001,631,8.87
7,영동밀면&돼지국밥,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220520_124%2F16530472698741lg12_JPEG%2FP20220519_104110101_432521E6-8377-4DA2-A09C-F3D186661F9E.jpg,1743,2444,9.47
8,하이디라오 부산역점,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200916_44%2F1600225027764QHNab_PNG%2F6_uWfEe-qxa8xyUzeRHJvoKp.png,1927,706,9.53
9,이재모피자,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_184%2F1443161063734QvxiG_JPEG%2F166875553438619_0.jpg,4997,3250,9.5
10,브라운핸즈백제,4.36,,1905,1825,9.26
11,평산옥,4.39,,483,580,8.92
12,대건명가돼지국밥,4.26,,1032,328,8.94
13,신창국밥 부산역점,4.17,,1042,835,8.97
14,장성향,4.06,,353,483,8.49
15,할매가야밀면,4.34,,1797,1905,9.24
16,"카페,다라래",4.82,,113,45,8.92
17,송원감자탕,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160225_189%2F1456383618905SYu0z_JPEG%2F176170518854874_0.jpeg,338,309,8.89
18,우리돼지국밥,4.24,,715,351,8.85
19,삼진어묵 부산역광장점,4.51,,944,338,9.19
20,은하갈비,4.37,,567,484,8.94
21,스톤스트리트 남포점,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_290%2F1647872855782slqBL_JPEG%2FResized_1646224493831-4.jpeg,1077,869,9.41
22,스완양분식,4.31,,1034,774,9.11
23,마가만두,,,813,702,
24,초량해칼국수 부산역점,4.69,,211,106,8.93
25,초량불백,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160108_146%2F1452234998251yMUox_JPEG%2F176058556657532_0.jpg,612,394,8.98
26,고민끝에여기,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190419_159%2F1555644802738Kq6bg_JPEG%2F1PdlJo7jTDrhciw24IVKy_bb.jpg,411,149,9.16
27,온지,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_25%2F1648088434702O22k0_JPEG%2FKakaoTalk_20200629_113508755_11.jpg,141,139,
28,그집곱도리탕 본점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201015_71%2F1602760929013VT3fb_JPEG%2FMF-2jRtbzV7PylhCVJz38GLQ.JPG.jpg,660,1368,9.17
29,소문난불백,4.4,,1067,1056,9.2
30,영동밀면,4.22,,224,296,8.52
31,원조부산밀면,4.38,,208,741,8.8
32,EU 피자&파스타 초량점,4.5,,383,184,8.81
33,명성횟집,4.24,,406,296,8.68
34,제일류초량뚝배기,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220509_97%2F16520866493710c27m_JPEG%2FIMG_09052022_175654_%25281280_x_1280_%25C7%25C8%25BC%25BF%2529.jpg,652,774,
35,골목게장 부산역본점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201018_30%2F1603003292578qgP1J_JPEG%2FFFu4a1i1G2YZHC-YUf_ra1LT.jpg,204,253,8.83
36,밀양갈비,4.54,,220,110,8.78
37,골드러쉬,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220515_195%2F1652584022395dahjH_JPEG%2Fgoldrush_logo.jpeg,16,14,
38,일품향,4.47,,202,252,8.77
39,베이크백,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220515_208%2F1652608498121To0QW_JPEG%2F06342180-E1C7-4525-B082-671715315283.jpeg,89,20,
40,양지아구찜,4.4,,324,197,8.71
41,베이커스 남포점,4.53,,105,167,8.63
42,코카모메 초량점,4.57,,516,272,9.08
