,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,60년전통할매국밥,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA4MjlfMjcy%2FMDAxNTAzOTY3OTQxMTAx.fUT0-nmKHhmzY4K_h0Rpvl949d-eACehBDSfnNUoozog.xCEkXwD3KTOGApUrbLY2bgGEXx3r1wC5XmOAhrxrpp0g.JPEG.kimsw-1013%2FKakaoTalk_20170824_124917174.jpg,1620,1516,9.23
1,고관함박,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191217_48%2F1576568664936w1q8O_JPEG%2F9ShCBWt-l7Gn9OHOMOQhLw4o.jpeg.jpg,1342,477,9.23
2,명성횟집,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200428_36%2F1588081111388gXhFK_JPEG%2F6PsXd17a73eVYE-WweE18oLV.jpg,406,296,8.68
3,루반도르파티세리,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160131_205%2F1454241896561eajlr_JPEG%2F176081613474960_0.jpeg,1388,201,9.06
4,모티,4.58,,32,117,8.68
5,명당만두,4.5,,263,159,8.74
6,1984나폴리 부산진역점,4.55,,225,116,8.79
7,정일품식육식당,4.41,,477,54,8.79
8,북경,4.44,,206,64,8.68
9,수정밀면,4.52,,292,64,8.76
10,88돼지갈비,4.32,,288,102,8.56
11,투썸플레이스 부산초량점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190410_112%2F1554888498410G6b3C_JPEG%2FZq6m8vE-XYfMEUWiqTEIWjlo.jpeg.jpg,2381,67,9.18
12,장원돼지국밥,4.4,,301,40,8.71
13,우리동네168,4.61,,256,22,8.85
14,자유관,4.04,,370,43,8.35
15,장수밀면본점,4.27,,228,15,8.51
16,영심이왕족발 수정점,4.53,,546,48,8.98
17,큰바다장어,4.45,,136,169,8.55
18,고관해물탕,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200306_36%2F1583482552226fNpnx_JPEG%2FVu7Q3Hk9ueuWXxm3CvTZtVdS.jpg,185,108,8.47
19,브롱스 수정점,4.29,,58,9,8.39
20,샐러디 부산초량점,4.63,,117,10,8.73
21,원제면소,4.93,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210928_40%2F1632807151447Qgobu_JPEG%2FHyqYII7ufK28dLQbdUYZVRMh.jpg,100,10,9.03
22,할매곱창집,4.48,,160,58,8.58
23,히노아지 부산진역점,4.51,,185,112,8.61
24,우량,4.31,,115,38,8.41
