,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
1,골든리지 시청점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200902_231%2F15990522203993Udyl_JPEG%2FM1gFuxbLZNecTrA7AyWV09hU.jpg,1048,399,9,9,9.57
2,최가네엄마돼지국밥,4.39,,713,793,9,9,9.39
3,사이먼커피,4.6,,395,339,7,9,9.56
4,평사리순두부,4.47,,478,118,8,7,9.29
5,진송추어탕 부산시청점,4.4,,858,424,9,9,9.4
6,정성순대 본점,4.49,,728,1110,9,9,9.49
7,소믈리에,4.59,,349,436,7,9,9.55
8,현풍닭칼국수 부산시청점,4.45,,635,103,8,7,9.27
9,벌떼집,4.47,,306,115,7,7,9.27
10,메이리,4.46,,563,330,8,9,9.44
11,마파람해물찜해물탕 시청직영점,4.5,,774,249,9,9,9.5
12,평화김해뒷고기 시청점,4.62,,228,101,5,7,9.38
13,강다짐 삼각김밥 부산시청점,4.51,,661,60,8,6,9.25
14,북청밀면,4.29,,84,125,1,8,9.05
16,스시미르네 시청점,4.47,,252,40,6,4,9.01
17,로타리양곱창센타,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200531_273%2F1590931199242wzMUH_JPEG%2Fde7l6iYUEsmnWK1v5k2AAtkr.jpg,219,210,5,9,9.38
18,스완양분식,4.43,,848,128,9,8,9.35
19,길 세이로무시 시청본점,4.53,,302,680,6,9,9.47
20,도쿠도쿠 시청점,4.54,,235,148,5,8,9.38
21,스시길,4.46,,325,135,7,8,9.34
22,징기스 부산시청점,4.66,,192,258,4,9,9.56
24,고기만,4.62,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201029_65%2F1603950214059nz96c_JPEG%2F4ZH882OsYUZ7u_d189U5q8Vx.jpg,80,469,1,9,9.46
25,미니코미,4.85,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220630_119%2F1656565631042Vnl1f_JPEG%2F20220629_164744.jpg,75,44,1,4,9.29
26,원할머니보쌈족발 부산시청점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220629_288%2F1656468134092Gfheo_JPEG%2F%25BF%25F8%25BD%25D3_%25BD%25E6%25B3%25D7%25C0%25CF_%25B8%25DE%25C0%25CE_Rev2.jpg,87,23,1,2,8.82
27,블루샥 시청점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210118_225%2F1610953772788PuSpa_JPEG%2FqnyYQxQ2NoEny0kgtDYxTsS1.jpg,994,33,9,3,9.09
28,쿼카맥주,4.9,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210427_54%2F1619523588783Cc8Sp_PNG%2Fysu0wcb4N2z_A7Dh7Q9npYA0.png,163,57,4,5,9.48
29,후스,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190715_99%2F1563188660302mvAN5_JPEG%2FTX7tLvjZPvGbXoVXiuhtCEST.jpg,1226,333,9,9,9.49
30,최가네엄마낙지,4.54,,590,135,8,8,9.44
33,뚜뚜이,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191217_28%2F15765210701220v4TA_JPEG%2FS4zZ6MZRA01WeZZvNwtbVw0Y.jpeg.jpg,32,112,0,7,9.26
34,초대,4.92,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210927_116%2F1632722624960vbYUY_JPEG%2Fp4E328UPDf4DvC4w3Ic7dANB.jpg,36,38,0,4,9.34
35,금성녹두삼계탕,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_158%2F1647838662501y8198_JPEG%2F1639036898355.jpg,138,13,3,1,8.59
36,호맥 부산시청점,4.73,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201120_133%2F1605852558066ID4mT_JPEG%2F0r35ygByKHoLHY85tXt4FYni.jpg,136,47,3,5,9.29
37,오연어,4.86,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200611_285%2F15918755063794m9Eh_JPEG%2FqWoTKEcZaccld8QHQMYuMVRu.jpg,190,124,4,8,9.68
38,낭만포차,4.53,,131,76,3,6,9.17
39,취원,4.36,,723,169,9,8,9.28
40,초록섬미역,4.4,,664,123,8,8,9.3
41,스시류,4.84,,43,91,0,7,9.5
42,미야,4.5,,423,117,7,7,9.3
44,유가네닭갈비 부산시청점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_168%2F1582781176918XiVPI_PNG%2FSXlCZCIAbbp8qXO531FhjnsI.png,412,345,7,9,9.37
45,애정집,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200127_58%2F15801158206356Airn_JPEG%2F4NMEYragDKN-OXDPq24megm2.jpg,164,130,4,8,9.45
46,쭈꾸미본색 연산점,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210716_286%2F1626415626996vL2zN_JPEG%2FF6846X51LgWKVOQlXO-MRWgn.jpg,606,142,8,8,9.6
47,크래프트한스 부산연산시청점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190415_199%2F1555306545635WJ381_JPEG%2FBusiUvRqZI0Og-B8cTGrG0OC.jpg,184,51,4,5,9.04
49,아뜰리에마롱,4.62,,913,55,9,5,9.3
50,월남면반 시청점,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210601_24%2F1622515536008PEP3m_JPEG%2F4zdTxgqwJ8tEZPgZRqBkpcKW.jpg,419,142,7,8,9.51
51,어부심 해풍코다리 시청점,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190807_150%2F1565151251949kutFx_JPEG%2FUqQabSImlNeHpKVGq3HC9MyM.jpg,470,71,8,6,9.03
52,신참떡볶이 부산시청점,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211125_115%2F1637819790677rLCV9_PNG%2F%25B7%25CE%25B0%25ED%25C0%25CC%25B9%25CC%25C1%25F6.png,119,37,3,4,9.15
53,맥도날드 시청점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170328_56%2F14906953274486OnKo_JPEG%2F186278593227.jpg,6306,91,9,7,9.32
54,배도니 시청 본점,4.68,,117,45,2,5,9.22
55,샐러디 부산시청점,4.5,,323,33,7,3,8.98
56,우가네왕김밥,4.38,,790,24,9,2,8.82
57,티포유,4.39,,78,173,1,8,9.15
58,해양산국밥 부산시청점,4.57,,314,57,7,5,9.21
59,마포본가,4.41,,293,744,6,9,9.35
60,이츠모리,4.68,,238,195,5,9,9.6
61,호야짬뽕1650 시청본점,4.7,,297,122,6,8,9.56
62,대새는 참바다,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200311_47%2F1583909237071JTdW0_PNG%2FziUda4L_SesHjR7jpN3P3DDA.png,113,233,2,9,9.06
63,하이드벗,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190709_150%2F1562677400886bLxVC_JPEG%2FIwm0KoLA5ulR1a9p3iD7lDyj.jpeg.jpg,326,237,7,9,9.66
65,텐퍼센트커피 부산시청본점,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211118_157%2F1637196866637CWRJW_JPEG%2FKakaoTalk_20210818_151128898.jpg,2715,94,9,7,9.34
66,읍천리382 연제점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220427_210%2F1651066073922vYFxd_JPEG%2F%25BE%25F7_%25281%2529.jpg,145,59,3,5,9.1
67,함양가,5.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210927_269%2F1632719061929xx6mH_JPEG%2FwalRoWEge5NPNeTGLLGK_m19.jpg,91,20,2,2,9.3
68,제일옥,4.49,,258,34,6,4,9.03
69,코하루,4.55,,414,173,7,8,9.43
70,시우당,4.61,,152,38,4,4,9.11
71,다담식탁,4.83,,174,33,4,4,9.33
72,또바기식당,4.54,,128,52,3,5,9.1
73,오공복이 부산시청점,4.28,,165,180,4,8,9.1
74,정있는식탁,4.51,,292,28,6,3,8.97
75,조리사의 집,4.5,,245,36,6,4,9.04
76,예향정 부산시청점,4.34,,396,78,7,6,9.06
79,김해한우뒷고기 본점,4.77,,204,119,5,8,9.61
80,삼부자황제갈비살,4.57,,120,47,3,5,9.13
81,대세박목살 시청점,4.66,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210507_85%2F1620368677809JthOg_JPEG%2FA1V1cYFNt7ahKHDQsl-sfaqe.jpg,115,89,2,7,9.36
82,베러먼데이 부산시청점,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200929_16%2F16013651197170K9Nz_JPEG%2FQGyUKKZTUM3d0NrJkXmQe6VU.jpg,203,13,5,1,8.92
83,파로,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180502_292%2F15252588780182s19p_JPEG%2Few6zlAf7WAZEvnfGr9sj1rzl.jpeg.jpg,79,71,1,6,9.14
84,도쿄그집 시청본점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160108_225%2F1452233838494U3nAY_JPEG%2F176058554737746_0.jpg,218,294,5,9,9.36
85,송화강훠궈,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181226_60%2F1545787156922ga1Bf_JPEG%2F_kym2MjBHK7tvT_NShL3w9im.jpg,250,166,6,8,9.32
86,투고샐러드 부산시청점,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220214_154%2F1644822650138WIShL_JPEG%2F%25BE%25C6%25C0%25CC%25C4%25DC.jpg,400,76,7,6,9.35
87,투썸플레이스 부산시청점,4.45,,1202,27,9,3,8.97
88,교동전선생 부산시청점,4.3,,255,71,6,6,9.0
89,종갓집양곱창,4.76,,128,41,3,4,9.24
90,포레스트,4.43,,271,21,6,2,8.81
91,미라클,4.65,,125,81,3,6,9.29
92,팔미초밥,4.43,,111,62,2,6,9.05
94,김가네김밥 부산시청점,4.4,,529,21,8,2,8.82
95,대가참치 부산본점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_236%2F1648107092236VnMGu_JPEG%2F3144AE5C-D339-46BF-B942-C4219FFF2014.jpeg,95,22,2,2,8.85
97,코코샤브 부산시청점,4.13,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191031_169%2F1572472244271Ulrjd_JPEG%2FCWZGIWRdc2239AxugEja0t17.jpg,325,96,7,7,8.93
98,일촌닭갈비,4.46,,188,169,4,8,9.28
99,낚시고기횟집,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191212_190%2F1576140127880Ud1Pq_JPEG%2FcTI0tu96VlUAsJx_-Gdg_-g2.jpg,118,7,3,0,8.52
100,빵85,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190401_149%2F1554089460792Fxuka_JPEG%2FBahhqrw4cUw_yUOCdLLh67mB.jpg,503,95,8,7,9.32
103,정직국수,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190428_147%2F1556436332578c2BI9_JPEG%2FW4fgMqCBufHowNVS_GOlcZsg.jpg,179,29,4,3,8.89
104,조선화로집 부산연산점,4.06,,431,51,7,5,8.7
106,칼든돼지,4.54,,330,141,7,8,9.42
107,더파티 시청점,4.38,,253,485,6,9,9.32
108,히노아지 부산시청점,4.38,,212,24,5,3,8.82
109,스시 아이가,4.86,,99,59,2,6,9.48
110,정담동태마을,4.3,,439,40,8,4,8.88
111,일차돌 부산 연산점,4.44,,131,43,3,4,8.92
112,명랑핫도그 부산시청점,4.47,,477,30,8,3,8.97
113,역전할머니맥주 부산시청점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190529_232%2F1559105035301xW3g1_JPEG%2F06rDLPdllrsIJElrFRPUuF0x.jpg,482,50,8,5,9.08
114,디저트숲,4.81,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210910_287%2F1631200390150A8EBK_JPEG%2Fypn0HzTo_ii9n4CCLnpooV1L.jpeg.jpg,56,256,0,9,9.63
115,가마치통닭 부산시청점,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210705_152%2F1625463546572bdg9T_JPEG%2FW5bUEYcJrcu4YP0juSADIbp9.jpg,538,13,8,1,8.81
116,제주오라방,4.68,,96,77,2,6,9.3
117,부산밀면,4.51,,365,63,7,6,9.23
120,데이나잇,4.89,,62,22,1,2,9.17
122,하삼동커피 시청비스타동원점,4.4,,403,7,7,0,8.64
123,원조개성손만두유황오리,4.43,,291,29,6,3,8.89
124,더케그,4.52,,111,31,2,3,8.9
127,주인의주방 시청점,4.64,,64,113,1,7,9.32
128,이대면가,4.38,,220,18,5,2,8.74
130,후스테이블,4.43,,373,44,7,5,9.07
131,카페태리,4.5,,591,31,8,3,9.0
