,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,서끝,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220419_59%2F1650371888190xtc2i_JPEG%2F20210724_194805.jpg,187,92,6,8,9.46
1,와사비 다대포점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170227_85%2F1488175171751K9Dg7_JPEG%2F186174608138178_0.jpeg,488,157,8,9,9.3
2,다대포 모에뜨키친,4.68,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220216_161%2F1644984100164QfAon_PNG%2F1644808845991-3.png,160,101,6,9,9.62
3,낙지발이몇개고,4.45,,218,55,7,8,9.33
4,우리할매떡볶이 다대점,4.04,,120,7,5,2,8.4
5,양평칼국수 본점,4.41,,372,65,8,8,9.31
7,블루샥 다대포점,4.56,,272,128,8,9,9.54
8,백두봉삼계탕,4.33,,400,57,8,8,9.23
9,자연산조개&삼겹구이,4.34,,118,103,5,9,9.26
10,스타벅스 다대포비치점,4.47,,2538,93,9,8,9.39
12,삼도축산,4.57,,99,40,4,7,9.31
13,능이고을,4.45,,286,49,8,7,9.27
14,설빙 다대포해수욕장점,4.41,,306,44,8,7,9.23
15,덕이네손수제비,4.4,,395,100,8,9,9.38
16,정직유부 부산다대포점,4.46,,201,10,7,3,8.94
17,투썸플레이스 부산다대포점,4.43,,773,42,9,7,9.27
18,달그래드,4.99,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210628_203%2F1624881366630Td3e9_JPEG%2F12Azqse0R6kp7Qf8r_WhBk1o.jpg,77,63,3,8,9.79
19,옛날아우내순대 다대포해수욕장점,4.41,,393,42,8,7,9.23
20,쑝쑝돈까스 다대포점,4.52,,173,17,6,5,9.14
21,논두렁 감자탕 본점,4.49,,158,26,6,6,9.19
22,맘스터치 다대2호점,4.33,,514,12,9,4,8.93
23,인생극장 다대포점,4.42,,106,45,5,7,9.18
24,가마치통닭 다대점,4.15,,185,2,6,0,8.37
25,하삼동커피 다대포해수욕장역점,4.31,,352,3,8,1,8.65
26,서핑카페 서프홀릭 다대포 카페,4.88,,71,49,3,7,9.6
27,꽃마름 부산다대포점,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180317_202%2F1521270622297KEOGQ_JPEG%2FhcIK9QGfLRFOQL3cyF3kYDOR.jpg,179,22,6,5,8.9
29,샤브향 다대점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180105_42%2F1515112689139DzPbl_JPEG%2FATo8OmvRwaIt47ljQpPm028g.jpg,555,54,9,8,9.26
30,버무리떡볶이 다대점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_117%2F1440989774720Ms6Ud_JPEG%2F156657564643696_0.jpeg,291,13,8,4,9.04
31,류길상피자 다대점,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220727_280%2F1658905140798WcBvU_JPEG%2FKakaoTalk_20220524_154016699.jpg,132,54,5,8,9.23
32,원조옛날통닭 다대점,4.26,,225,6,7,2,8.66
