,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,오븐마루치킨 다대점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220614_50%2F1655197002162PnIwX_JPEG%2F720_%25B3%25D7%25C0%25CC%25B9%25F6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BC%25F6%25C1%25A4.jpg,65,18,3,5,9.05
1,대명오리불고기,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_75%2F1441020727738b0q8P_JPEG%2F116175568724995_0.jpg,240,83,7,8,9.37
2,영배다방,4.75,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201119_273%2F1605721490627GxcdW_JPEG%2FzDQEKBeilCO0Ky5VGrOgFMWN.jpg,44,75,2,7,9.45
3,90칼로리 프로틴 카페,5.0,,22,8,1,4,9.44
4,카페다대포여기,4.46,,247,147,7,9,9.42
5,서로,4.61,,53,11,3,5,9.17
6,다대생아구찜,4.41,,143,12,6,5,9.03
7,맥도날드 부산다대DT,4.47,,3737,43,9,7,9.31
8,장터할매 돼지국밥,4.43,,138,10,6,4,8.97
9,다대본동가야밀면,4.38,,111,12,5,5,8.98
10,띠띠빵빵 초밥,4.71,,96,16,5,5,9.31
11,한우애가,4.47,,75,33,4,6,9.13
13,속초홍게마을,4.46,,28,36,1,6,9.06
14,석이네초장집,4.33,,12,4,0,2,8.59
16,피자비토랩 다대점,4.38,,64,22,3,6,9.02
17,장안돼지순대국밥,4.37,,145,7,6,4,8.91
19,카이커피,4.38,,18,94,0,8,9.12
20,도미노피자 다대포점,4.49,,382,40,8,6,9.23
21,카페051 다대포항점,4.49,,309,5,8,3,8.99
22,본동아구찜,4.49,,59,6,3,3,8.89
23,멕시카나치킨 다대점,4.33,,15,10,0,4,8.75
24,고향보리밥,4.37,,35,1,1,0,8.49
25,대성초장횟집,4.55,,30,10,1,5,9.07
27,조은통닭,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_173%2F1657859944111y6vxo_JPEG%2F%25C0%25DA%25BB%25EA_2_JPG.jpg,48,18,3,5,8.86
29,한우공장 다대점,4.54,,153,22,6,6,9.24
31,땅스부대찌개 다대점,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191224_103%2F1577164692662MscM0_JPEG%2FyKnUDWi1_4yOSKdCd78yS6Z8.jpg,196,9,7,4,8.92
32,미소바지락손칼국수,4.37,,142,22,6,6,9.07
33,상상짬뽕 다대점,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210111_147%2F1610347102555rJH3Q_JPEG%2FsYWzwiMLpDmpvDAq9IA1nT7L.jpg,128,10,6,5,8.99
34,노랑통닭 다대점,4.48,,104,3,5,2,8.84
35,오빠불닭발,4.49,,47,6,2,3,8.87
36,호식이두마리치킨 다대점,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210730_179%2F16276117800989nT7b_JPEG%2FShSeZ8y1sSCv9N6S5vyZjqwP.jpg,97,4,5,2,8.83
37,우리동네식육식당,4.9,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190329_39%2F1553797580987UH0nk_JPEG%2FhkeJBJI8I-lH2nM0fELiVAlo.jpeg.jpg,17,1,0,0,9.0
38,정가대박집 다대포직영점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170314_262%2F1489466321349bD39Q_JPEG%2F186264536861.jpg,189,21,7,6,9.14
39,피자나라치킨공주 부산다대점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_177%2F1652774958679wb8T8_PNG%2Flogo.png,16,4,0,2,8.71
40,비빔,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220701_181%2F1656666016472mUfUy_JPEG%2F20180702_104342.jpg,65,1,3,0,8.68
42,닭강정참잘하는집,4.63,,27,3,1,2,8.91
43,킹프레소 다대점,4.17,,62,2,3,1,8.41
45,찜마을,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_110%2F1441030432921cl69D_JPEG%2F11727062_0.jpg,70,3,4,2,8.66
46,신신당부석쇠구이 다대점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170926_167%2F1506388414372nlDfP_JPEG%2FQDD4UVYzZ4-WCZQ_atBv2sjQ.jpg,41,18,2,6,9.16
47,부산면옥 다대본점,4.29,,77,17,4,5,8.87
48,할매집,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220601_243%2F16540417000889ofDt_JPEG%2F1654041675034.jpg,519,408,8,9,9.34
49,다대포애칼국수,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191208_227%2F1575782438219hCHq2_JPEG%2FGwR6NSEzq9yLtlvZXwc5I1r2.jpg,168,5,7,3,8.78
51,무성이네전집,4.14,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210315_31%2F1615808175602gETKu_JPEG%2FjxmV12lSQGwe3t4Vgqn_JOSM.jpeg.jpg,19,5,0,3,8.48
52,다대씨파크활어회센터,4.18,,47,79,2,8,8.96
53,청년피자 다대장림점,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220316_17%2F1647396604226YcMua_JPEG%2F%25C3%25BB%25B3%25E2%25C7%25C7%25C0%25DA_%25B9%25E8%25B4%25DE%25C0%25C7%25B9%25CE%25C1%25B7_%25BD%25E6%25B3%25D7%25C0%25CF%2528%25BF%25A9%25B8%25A7%2529.jpg,66,3,3,2,8.65
54,투다리 다대1호점,4.75,,19,3,0,2,9.01
55,동대문엽기떡볶이 부산다대점,4.39,,359,10,8,5,9.05
59,후아닝,4.28,,103,26,5,6,8.96
60,스마일꽈배기,4.38,,166,4,6,3,8.84
62,국제통닭 다대점,4.57,,61,2,3,1,8.81
63,여진국수전문점,4.3,,45,9,2,4,8.76
64,맘스맘,4.36,,102,3,5,2,8.72
65,윤가네초장횟집,4.1,,41,7,2,4,8.56
66,갈매기횟집,4.56,,29,7,1,4,9.0
67,뱅가,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190203_9%2F15491236066072NOJz_JPEG%2FqqpXRTcdmonw_jrTFnkaRsCc.jpeg.jpg,541,428,9,9,9.49
69,한양족발,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200601_192%2F1590973843157bUhJe_PNG%2FygYQXNC7gOFqDP8I3DuFZ3Vw.png,12,1,0,0,8.7
70,거제초장횟집,4.22,,15,9,0,4,8.64
72,파리바게뜨 다대본동점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_226%2F1649838139725vmGSx_PNG%2Fimage.png,742,4,9,3,9.0
73,썬더치킨 다대1동점,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200506_185%2F1588724849883qyr5w_JPEG%2FykOvNSsToXUiaeLEnAGCPn3v.jpg,99,3,5,2,8.94
75,니가찾던 떡볶이 다대본점,4.52,,37,34,2,6,9.14
79,미니식당,4.59,,53,5,3,3,8.99
80,88활어,4.33,,78,7,4,4,8.83
85,돈카냉면&파스타,4.33,,52,5,3,3,8.73
87,이지요661,4.38,,1316,757,9,9,9.38
88,코리엔탈깻잎두마리치킨 다대점,4.25,,95,7,4,4,8.75
90,원조마산생아구찜,4.44,,99,3,5,2,8.8
91,장수촌생오리,4.53,,29,1,1,0,8.65
94,충무 생아구찜,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210105_175%2F1609828891123heLjQ_JPEG%2Fimage.jpg,60,7,3,4,9.09
95,대복식당,4.29,,93,1,4,0,8.47
97,들깨버섯팥칼국수,4.38,,69,3,4,2,8.72
98,오드이븐 다대포점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200716_299%2F1594868882162t6FHW_JPEG%2FqskynOazRfPmLvRbfWw6241g.jpg,1343,406,9,9,9.48
99,정성을다하는제제고깃집,4.18,,27,2,1,1,8.38
100,다대336장작구이,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220607_180%2F1654565533386mlOTh_JPEG%2F1654565447766.jpg,215,121,7,8,9.34
102,차이나짬뽕,4.58,,90,6,4,3,9.0
104,기자할매활어,4.44,,42,1,2,0,8.58
106,동백초장횟집,4.01,,66,4,4,3,8.43
112,보리에브레드팩토리,4.43,,1288,250,9,9,9.43
120,뽕쭈마약쭈꾸미 부산다대점,4.38,,35,1,2,0,8.52
122,강남왕족발,4.45,,65,1,3,0,8.61
124,진주활어,4.37,,112,17,5,5,8.97
126,505 RESTAURANT,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201007_33%2F1601998898512RyDDU_JPEG%2FXo97nUKsq5wgKRcA3_lxCXBW.JPG.jpg,212,105,7,8,9.34
127,가덕활어,4.58,,106,6,5,3,9.02
128,동궁초장회,4.24,,45,4,2,3,8.62
130,서끝,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220419_59%2F1650371888190xtc2i_JPEG%2F20210724_194805.jpg,187,92,7,8,9.48
131,우아하닭 다대본점,4.14,,11,35,0,6,8.72
135,까치생숯불구이,4.33,,222,158,7,9,9.29
136,퍼스트비어 다대씨파크점,3.82,,16,1,0,0,7.92
137,배꼽시계,4.6,,23,4,1,3,8.96
138,욱이네 불타는 조개구이&전골,4.41,,266,133,8,9,9.39
139,삼성횟집,4.47,,27,2,1,1,8.67
142,한우촌식육식당,4.39,,33,2,1,1,8.59
143,고성횟집,4.38,,31,1,1,0,8.5
144,미주활어,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200428_267%2F15880019697298X4Yh_JPEG%2FPP5m9CnsEQEfD-cgFuw3rc15.jpg,133,1,6,0,8.63
145,생뒷고기식육식당,4.42,,12,1,0,0,8.52
146,씨파크횟집,4.55,,20,2,0,1,8.73
147,백두산,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220421_13%2F1650528394394z7wMo_JPEG%2Fimage.jpg,603,73,9,7,9.2
148,새고성활어,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200531_113%2F1590904141131m0ojH_JPEG%2FGx7eiNyhIgiFlZFC-NV66fHd.jpg,82,1,4,0,8.62
149,돌고래초장집,4.28,,72,9,4,4,8.78
153,다대포 모에뜨키친,4.68,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220216_161%2F1644984100164QfAon_PNG%2F1644808845991-3.png,160,101,6,8,9.54
154,와사비 다대포점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170227_85%2F1488175171751K9Dg7_JPEG%2F186174608138178_0.jpeg,488,157,8,9,9.3
157,금오활어,4.13,,120,1,6,1,8.43
164,다대활어,4.39,,63,3,3,2,8.71
168,거제횟집,4.6,,32,1,1,1,8.8
170,썬업 다이브,4.54,,107,120,5,8,9.38
175,동해횟집,4.54,,46,1,2,1,8.76
183,바닷가수산시장,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201107_33%2F1604761089955PqbRq_JPEG%2FUzyRA6AXP3Lz5Hu_4Ns-N1lG.jpg,100,60,5,7,9.09
185,경주초장횟집,4.17,,36,2,2,1,8.39
189,만원이만원횟집,4.47,,29,1,1,1,8.67
192,홉스피제리아 다대포점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200218_27%2F1582015211645bc86d_JPEG%2FKakaoTalk_20200218_173821842_14.jpg,722,208,9,9,9.57
201,우리할매떡볶이 다대점,4.04,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211015_240%2F1634254745104M6E8h_JPEG%2FTC08n1fKwsmTWHyuCpghMaBQ.jpg,120,7,6,4,8.58
204,밀박사,4.66,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211219_193%2F1639900076672Yrs1w_JPEG%2F20211219_162747.jpg,69,10,4,5,9.24
209,스타벅스 다대포DT점,4.46,,1839,41,9,7,9.3
216,대구활어,4.61,,147,1,6,1,8.91
217,행복을 짓는 수향촌밥상,4.47,,1034,79,9,8,9.39
232,낙지발이몇개고,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220726_10%2F1658796337988IJgh5_JPEG%2FVY3xVkgO93zv930apVxa9PDc.jpg,218,55,7,7,9.25
