,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,오두리할매셋째딸연탄쭈꾸미,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_300%2F1548924823950y2w3C_JPEG%2FSdZWVDmPriuFdqwZEeR4Tm5V.jpeg.jpg,616,200,9,9,9.54
1,양옥,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180830_25%2F1535605265263Ei3VC_JPEG%2FkAoB0eW_s5i2dodYjpRVbzcp.jpg,226,93,7,9,9.44
5,고메밀면,4.36,,639,138,9,9,9.36
6,아리랑목살,4.44,,325,81,8,9,9.42
7,물고기한마리,4.49,,129,33,6,8,9.35
8,쿠우쿠우 괴정점,4.3,,929,156,9,9,9.3
9,대티물꽁,4.38,,1022,162,9,9,9.38
10,남다른감자탕 부산괴정점,4.32,,451,54,8,8,9.22
12,장모족발 사하구점,4.81,,46,20,2,6,9.43
14,스타벅스 부산괴정역점,4.51,,2793,47,9,8,9.43
15,청년다방 부산괴정점,4.38,,121,92,5,9,9.3
16,1등숯불갈비,4.46,,582,46,9,8,9.38
17,육단지,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191207_234%2F1575719550781DXHrj_JPEG%2F0L_hJgO8weIj2azBi_U1u-iZ.jpg,47,16,2,6,9.26
18,맛있는고기에솜씨를더하다 사하점,4.63,,320,26,8,7,9.45
19,할매칼국수,4.45,,487,60,8,8,9.35
20,비스트로 이안,4.45,,162,67,6,9,9.39
21,내호냉면,4.3,,289,33,7,8,9.18
22,베이커리그루,4.36,,447,104,8,9,9.34
23,옻바다전복삼계탕,4.42,,106,45,5,8,9.26
25,화화돼지왕갈비 부산괴정점,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_205%2F16527780358106NKY3_JPEG%2F%25C8%25AD%25C8%25AD_%25B9%25E8%25B9%25CE%25B7%25CE%25B0%25ED2-02.jpg,416,48,8,8,9.49
26,메이드인제이,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200216_201%2F15818440982312jCNs_JPEG%2FJtSnVW--EBAqDBpz1CI0QuP9.jpg,169,143,6,9,9.39
28,텐퍼센트커피 부산대티점,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211024_60%2F1635080192120SkPB1_JPEG%2FlvdW0uNAfS7_ASDRG_aQkQQq.jpg,84,2,4,0,8.51
29,초원각,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191228_195%2F1577511074209yPHNx_JPEG%2FPDf7tbCIrCmTWn-cW5hhD2A0.jpg,221,25,7,7,9.07
30,해루질삼합,4.75,,34,16,1,6,9.35
31,하꼬방곱창,4.6,,87,38,5,8,9.44
32,산풀 괴정점,4.4,,47,5,2,2,8.7
33,정직유부 부산괴정점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_164%2F15669600178018bJRT_JPEG%2FAmzFaB18MQRFj-pwVtrWjywn.jpg,490,18,9,6,9.31
35,한패,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160615_48%2F1465916931405MXeqW_JPEG%2F176565403870649_0.jpeg,132,20,6,7,9.12
36,모름지기 연탄구이 괴정점,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181108_11%2F1541673958656SSqKw_JPEG%2FuqYGs_GX2YttiaqoSTx9FceE.jpg,167,32,6,8,9.25
38,달밤202,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210225_273%2F16142238794761mMiC_JPEG%2FhaaG5vE78UD9OhfsUrGWFmCu.jpeg.jpg,41,6,2,3,9.05
39,포르르 마카롱 카페,4.74,,149,20,6,7,9.52
41,맘스터치 괴정휴포레점,4.32,,413,9,8,4,8.9
42,골목주막,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210701_294%2F1625128396701sSJjW_JPEG%2F7ca3Xiln-4XdgOxtPDHu9ECL.jpeg.jpg,76,19,4,6,9.36
43,국가대표109,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171227_254%2F1514339224776xGMCG_JPEG%2F1RQNDIV2X6LvHSQJL6ahMMmy.jpg,107,10,5,4,8.85
44,자갈치꼼장어,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160802_49%2F1470121789820ehrjo_JPEG%2F176677553026047_0.jpeg,44,19,2,6,9.06
46,샤브향 부산괴정점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_38%2F1440987145721hKF3N_JPEG%2F35215425_0.jpeg,557,378,9,9,9.4
47,카페오후6시,4.77,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210409_63%2F1617931770508whzDa_JPEG%2FKakaoTalk_20210406_235804154.jpg,44,108,2,9,9.63
48,던킨 부산괴정점,4.48,,489,6,9,3,9.0
49,개미집직영점,4.31,,238,26,7,7,9.11
