,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,동원장수촌,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181002_18%2F1538462565456qyibD_JPEG%2F5eH7cLOIHXSGRhSxfUAxWYlo.JPG.jpg,799,328,9,9,9.34
1,진스시,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220326_217%2F1648275474074iuC7i_JPEG%2F1648273095044.jpg,121,88,6,8,9.47
2,숙성고 통삼겹무한리필,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190813_60%2F1565682729620UUL4a_JPEG%2FZiBo5mQ6CIFBw-qsuE30OF8d.jpg,89,106,5,9,9.34
3,브라운박스커피,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200325_92%2F1585063362274nJkEh_JPEG%2FXQNKpaPRmKHnHZ8Xy4EOZCzZ.jpg,463,150,9,9,9.55
4,식당3선 당리점,4.34,,1582,265,9,9,9.34
5,동해옥함흥냉면 수제순대,4.38,,365,230,8,9,9.36
6,365꼬막정찬,4.23,,441,142,9,9,9.23
7,오공떵번,4.6,,315,84,8,8,9.5
8,톤보,4.89,,238,210,8,9,9.87
9,부산삼겹살 하단본점,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190714_98%2F1563067024956tYx5q_JPEG%2F9q4T7zQSkBlgDqiA1kyqFUmr.jpg,256,147,8,9,9.49
12,아방곱창,4.47,,127,133,6,9,9.41
13,맛나감자탕 사하구청점,4.49,,405,10,8,4,9.07
14,상상짬뽕 당리점,4.38,,633,41,9,7,9.22
15,웨이브드래프트하우스,4.61,,61,27,3,6,9.25
17,동대앞신석쇠구이부산본점,4.34,,238,87,8,8,9.24
19,제일돌곱창,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191022_299%2F1571748380879UsrLw_JPEG%2FTL5I1lv8HyW7E0yzwNMn9JjS.jpg,286,186,8,9,9.25
20,청춘곱도리탕,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_153%2F1577662398387HwbI1_JPEG%2Fve5GCnBCocF-0tYiPSkhh-EJ.jpg,101,139,5,9,9.64
21,자성화맛집코다리네 부산사하점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170310_122%2F14891226532489w8TK_JPEG%2F186256545150894_0.jpeg,452,24,9,6,9.19
22,호맥 하단점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210830_163%2F1630251020675T8YPb_JPEG%2FDOpeuwFmRn_i8_y6QB5y256O.jpeg.jpg,112,63,5,8,9.32
25,고집센그집갈비탕 부산하단점,4.34,,490,42,9,7,9.18
26,닭도리탕,4.41,,59,57,3,8,9.21
28,초록꼬마김밥,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190820_186%2F1566293036987laR3V_JPEG%2FEhQeyluI3Q5p90Ou2Lqg3RRK.jpg,918,14,9,4,9.11
29,춘하추동칼국수,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200207_208%2F1581082639861puhQr_JPEG%2FNk2N61L0ipdYthER8NxvBMG3.jpg,902,12,9,4,9.38
