,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,옛날오막집,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200101_193%2F1577879931599bB2cJ_JPEG%2FAHbhfOWj0ujAL7SrutJN1Uyz.jpeg.jpg,508,400,9,9,9.28
1,영남냉면밀면,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_105%2F1441002441532ba3r0_JPEG%2F106771513573632_0.jpg,778,244,9,9,9.4
2,흑산도횟집,4.44,,352,112,8,8,9.34
3,CONNOISSEUR,4.93,,222,107,7,7,9.73
4,이자카야 키,4.43,,117,301,5,9,9.35
5,대양곱창연탄구이,4.52,,321,459,8,9,9.5
6,해전곱창,4.62,,291,506,8,9,9.6
7,용호동할매팥빙수 남포점,4.4,,138,35,6,6,9.1
8,뿌드망,4.54,,41,9,2,2,8.84
9,편의방,4.44,,787,191,9,8,9.36
10,목구멍 동대신점,4.89,,185,70,7,7,9.69
11,대성횟집,4.54,,126,239,5,9,9.46
12,아비오,4.63,,84,79,4,7,9.37
14,스이오니,4.62,,203,95,7,7,9.42
18,쑝쑝돈까스 대신점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190109_32%2F1546995617014AVFwn_JPEG%2Fbb_GftptwwoxF_ffZ8p8VXDX.jpg,447,36,9,6,9.1
20,새우까는집,4.59,,174,92,7,7,9.39
21,맘담은식당,4.45,,299,44,8,6,9.19
22,목구멍 남포점,4.71,,267,96,8,7,9.53
24,전차카페,4.68,,142,107,6,7,9.46
25,45번길카페&45번길쿠키,4.61,,142,73,6,7,9.39
26,설스시,4.55,,902,309,9,9,9.55
27,송지부대찌개,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210617_257%2F1623915725311jy3ml_JPEG%2FtFdG0QY9t19VXqYHLRD19fz1.JPG.jpg,72,191,3,8,9.34
28,시골집,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_105%2F15482394107512OetE_JPEG%2FiKAgPNYV43PpIIfaWBi5J5Jv.jpeg.jpg,136,63,6,7,9.38
29,일등가마솥돼지국밥 남포점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190801_52%2F1564657197083dPVIS_JPEG%2FTEBLBze-tBrapEVYIZPs2elL.jpeg.jpg,258,187,8,8,9.34
30,세정,4.48,,492,533,9,9,9.48
31,와와샤브 대신점,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_80%2F1608263837128mX7VR_JPEG%2Fpk4jz3AjHyblU__lbpfjpIa7.jpg,387,144,9,8,9.43
33,네거리집,4.8,,95,48,5,6,9.48
34,화현동,4.74,,122,127,5,8,9.58
35,만월집 동대신점,4.36,,133,22,6,5,8.98
36,원조최가네돼지국밥,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191223_258%2F1577066191127ULDst_JPEG%2FkYpwR85sjCKD9BTswxctuIi_.jpg,128,412,5,9,9.25
37,낙원동 숯불 닭갈비,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170616_170%2F1497580989123FI5m2_JPEG%2F186565547558904_0.jpeg,190,119,7,8,9.43
38,본죽&비빔밥cafe 동아대병원점,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220628_291%2F1656371086356apAAw_JPEG%2F2206_%25BB%25EF%25BB%25F6%25C0%25E5_%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg,274,1,8,0,8.63
39,물마,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160304_101%2F14570658493427nitc_JPEG%2F176254536069_0.jpg,152,16,6,4,9.01
40,대정양곱창,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180515_48%2F1526376318427kfhqx_PNG%2FsmTxvOTI4QGNuMzdfJ6pzyw-.png,762,1180,9,9,9.57
41,밀양순대돼지국밥,4.24,,643,169,9,8,9.16
42,동북양꼬치,4.53,,79,57,3,7,9.25
43,마루팥빙수단팥죽,4.52,,77,27,3,5,9.08
45,후라이드참잘하는집 대신부민점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220425_262%2F1650869847878cG2uA_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA-0425-%25BF%25CF%25BC%25BA2-08.jpg,337,15,8,4,8.9
47,특수고기,4.82,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191106_30%2F1573028679335vzkMz_JPEG%2FAY80qTtfnhZ5zDQsqHA2ggRG.jpg,106,117,5,8,9.66
