,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,천지를먹다,4.93,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220128_280%2F16433358253810rVVT_JPEG%2F%25C0%25B0%25C8%25B8%25B9%25B0%25C8%25B8.jpg,474,66,8,6,9.67
1,왕밀면냉면전문,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181223_71%2F1545576024013EFca3_JPEG%2Fk0YjvjvBiFPmMxxKVFUu8Xf-.JPG.jpg,135,11,5,5,9.17
2,남해기사식당,4.38,,311,95,7,7,9.18
3,아르테베니에,4.53,,124,37,5,6,9.21
4,해돈복국,4.48,,95,11,4,5,9.06
5,오가정,4.32,,199,17,6,5,8.94
6,카페토드,4.55,,207,30,6,6,9.25
7,컴포즈커피 신평마켓점,4.63,,148,2,5,1,8.91
9,옥이기사식당,4.47,,206,17,6,5,9.09
11,코코김밥,4.42,,85,16,4,5,9.0
12,가마치통닭 신평시장점,4.58,,172,2,5,1,8.86
14,페리카나 부산신평점,4.57,,50,7,2,4,9.03
15,맛갈 신평점,4.54,,47,8,2,4,9.0
17,햇살샌드,4.54,,120,12,5,5,9.14
18,봉평메밀마당 신평점,4.46,,248,10,6,4,9.0
19,꼬지와친구들 신평점,4.5,,77,10,3,4,8.98
20,신평루,4.63,,273,7,7,4,9.19
21,영진돼지국밥 본점,4.53,,2755,940,9,9,9.53
22,홍합의추억,4.55,,24,3,1,2,8.83
24,하삼동커피 신평동매역점,4.47,,204,6,6,4,9.01
25,신평장림 가야밀면,4.11,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200605_15%2F15913388189984ODYb_JPEG%2FkfymfEershsvyOpGuyajJBf4.jpg,66,10,3,5,8.67
26,처갓집양념치킨 부산신평점,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200120_298%2F1579504110347tJgty_JPEG%2FC_lo6OmP2LbyOHVZh-W2FOtu.jpg,26,1,1,0,8.81
27,봄날,4.0,,19,2,0,1,8.18
32,최고다강냉이찹쌀꽈배기,4.38,,117,2,5,1,8.66
33,더벤티 신평배고개점,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_94%2F1592362308610bnDTF_JPEG%2FguxhSS81pQo8vNapEfQwT65_.jpg,78,1,4,0,8.82
34,전주수라간콩나물국밥,4.01,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200531_241%2F1590935234743TuRAq_JPEG%2FcSIdFt3R5WqZE7YDDpyShq6q.jpeg.jpg,62,4,3,3,8.41
35,뚱땡이삼겹살,4.56,,156,10,5,5,9.16
37,오복횟집,4.62,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200301_182%2F1583041511572FLmhV_JPEG%2FqGAj3oSOs3HW3IQK8qT1_gPI.jpg,78,4,4,3,9.04
43,장수돼지국밥 신평점,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191015_209%2F15711270977809bLiH_JPEG%2FjqeuUI2ZQbcP8p5cX8fclBx2.jpg,66,4,3,3,8.64
44,착한밥상,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200301_30%2F1583042154902V5EuI_JPEG%2FjUUQpyD1CAElRG1Vxwqbj_oQ.jpg,31,1,1,0,8.44
46,옛날통닭,4.86,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210609_71%2F1623201029126e2ile_JPEG%2FZ5I2u8xQPbY_M-lY0kK3x_O7.jpg,31,1,2,0,9.0
47,또봉이통닭 신평점,4.18,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210413_283%2F1618292840680Oh6UI_JPEG%2FSbF-EFr2YcUadcRjMU_ba_33.jpg,25,3,1,2,8.46
50,한양왕족발보쌈,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210504_293%2F1620122876376TX4td_JPEG%2FBW8-UHEoVkSjgtchXZsPmH10.jpg,14,1,0,0,8.55
53,맛숯불장어구이,4.54,,29,1,1,0,8.66
55,서울왕족발,4.69,,50,2,2,2,8.99
56,진영숯불갈비,4.27,,86,4,4,3,8.69
57,승승삼겹 신평점,4.48,,67,1,3,0,8.64
59,옥다방 부산신평점,4.19,,18,4,0,3,8.53
61,석봉토스트 부산강동병원점,4.56,,57,1,3,0,8.72
64,먹고보자,4.71,,17,4,0,3,9.05
70,할매아구찜,4.23,,16,3,0,3,8.57
74,동원장수촌,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181002_18%2F1538462565456qyibD_JPEG%2F5eH7cLOIHXSGRhSxfUAxWYlo.JPG.jpg,799,328,9,9,9.34
75,당감제일냉면 신평점,3.97,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200605_36%2F1591336024803Puvf8_JPEG%2FlzCvSEbPU9gPfKtbazG_b1yL.jpg,17,6,0,4,8.39
77,청원생복집,4.32,,41,3,2,3,8.7
81,황금쌈밥,4.75,,21,1,1,0,8.87
82,박가네가야밀면,4.71,,35,3,2,3,9.09
88,원산집,3.82,,17,2,0,2,8.08
90,하기연진주냉면,4.28,,1581,390,9,9,9.28
93,고향손칼국수,4.4,,18,4,0,3,8.74
94,옥다방 신평동매역점,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191011_134%2F1570766327415TvTLh_JPEG%2F_BnzY_ZrMndd3Q6GIy6HvtPZ.jpg,71,7,3,4,9.08
103,오사카,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200422_178%2F1587557250484aRAE0_JPEG%2Fe9krV0rB-6AJuuoWIR9X1QJ7.jpg,801,459,9,9,9.58
107,오복숯불장어,4.6,,20,1,1,0,8.72
112,카페플랜트370,4.44,,792,305,9,9,9.44
115,콩자김밥,4.48,,88,1,4,1,8.74
118,더고집 장림점,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210214_174%2F1613267047455P36s6_JPEG%2F%25C5%25E4%25B8%25B6%25C8%25A3%25C5%25A9led.jpg,282,178,7,8,9.48
120,신평본가해장국,4.43,,55,1,3,1,8.67
123,소울레터커피컴퍼니,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171216_274%2F15133872719121krTI_PNG%2FkmxAf4_Odwokh-ICelEbQjrv.png,215,256,6,9,9.51
126,만나보리밥,4.71,,17,1,0,1,8.89
128,임금님족발,4.37,,20,2,1,2,8.65
130,해주냉면,4.36,,585,192,8,8,9.26
132,김부자감자탕뼈다귀해장국,4.2,,45,2,2,2,8.5
