,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,배비장보쌈구서본점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171025_177%2F1508899194217GmJHx_JPEG%2F30M81C0ADu6YmFg_VNnS77mi.jpg,2190,397,9,9,9.42
1,면채움,4.45,,591,214,9,9,9.45
2,마파람해물찜해물탕 구서본점,4.38,,374,169,8,9,9.36
3,카파도키아,4.67,,128,198,4,9,9.57
5,동원장수촌,4.43,,180,26,5,5,9.03
7,금빙고,4.51,,149,16,5,4,9.03
8,구세리1990,4.56,,221,78,6,8,9.42
10,돼지팥빙수 구서점,4.5,,139,32,4,6,9.16
11,맛나감자탕 구서점,4.48,,497,169,8,9,9.46
13,황금오리,4.42,,118,69,4,8,9.24
14,전원숯불 부산구서점,4.34,,594,150,9,9,9.34
15,타이백스트릿,4.36,,162,72,5,8,9.2
17,더도이돼지국밥 구서점,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180519_70%2F1526695308996kEokk_JPEG%2FsoO9RPzl0eVICj4wq5N4D2nn.jpg,659,133,9,9,9.33
18,고기굽는남자 구서점,4.62,,371,264,8,9,9.6
19,도너츠윤 부산금정점,4.75,,230,51,6,7,9.53
20,호맥,4.6,,69,26,1,6,9.2
22,삼환축산,4.6,,300,95,7,8,9.48
23,철마한우로스구이,4.72,,126,60,4,7,9.46
24,금정어가,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220607_60%2F1654548161033uwhI6_JPEG%2FDSC05223.JPG,143,144,5,9,9.3
25,소풍경 구서점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200604_119%2F15912334212468uw2M_JPEG%2F_yOom_LPpvMkbpOmCKxpfA2B.jpg,274,44,7,7,9.25
26,구서칼국수,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200526_127%2F1590471770718FPsYx_JPEG%2F0cYyga2OXvhD6N-sU-IEYeZG.jpeg.jpg,104,107,3,8,9.4
