,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,양옥,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180830_25%2F1535605265263Ei3VC_JPEG%2FkAoB0eW_s5i2dodYjpRVbzcp.jpg,226,93,7,9,9.44
1,아리랑목살,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210302_89%2F1614684968596Ov2kh_JPEG%2FE6jtzC9SS1aYMyx2TJE7M5BP.jpg,325,81,7,9,9.4
2,물고기한마리,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200905_276%2F1599279668394g4wB7_JPEG%2FZBI9wm0yHqyAZka9FrrdqqHN.jpg,129,33,6,8,9.35
4,쿠우쿠우 괴정점,4.3,,929,156,9,9,9.3
5,남다른감자탕 부산괴정점,4.32,,451,54,8,8,9.22
8,비스트로 이안,4.45,,162,67,6,9,9.39
9,스타벅스 부산괴정역점,4.51,,2793,47,9,8,9.43
10,청년다방 부산괴정점,4.38,,121,92,5,9,9.3
11,베이커리그루,4.36,,447,104,8,9,9.34
12,1등숯불갈비,4.46,,582,46,9,8,9.38
13,할매칼국수,4.45,,487,60,8,8,9.35
14,맛있는고기에솜씨를더하다 사하점,4.63,,320,26,7,7,9.43
16,해루질삼합,4.75,,34,16,1,6,9.35
18,내호냉면,4.3,,289,33,7,8,9.18
19,정직유부 부산괴정점,4.55,,490,18,8,6,9.29
20,모름지기 연탄구이 괴정점,4.39,,167,32,6,8,9.25
21,맘스터치 괴정휴포레점,4.32,,413,9,8,4,8.9
23,골목주막,4.7,,76,19,4,6,9.36
24,달밤202,4.67,,41,6,2,3,9.05
25,개미집직영점,4.31,,238,26,7,7,9.11
26,카페문득,4.52,,198,79,6,9,9.46
27,청솔양곱창,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180514_110%2F1526299603238zUQMx_JPEG%2FaH6xUQWjS_t1vO87Vq1-N6uw.JPG.jpg,67,16,4,6,9.03
28,카페오후6시,4.77,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210409_63%2F1617931770508whzDa_JPEG%2FKakaoTalk_20210406_235804154.jpg,44,108,2,9,9.63
29,샤브향 부산괴정점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_38%2F1440987145721hKF3N_JPEG%2F35215425_0.jpeg,557,378,9,9,9.4
30,던킨 부산괴정점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210420_124%2F1618872751033lDnGe_JPEG%2F2x2Q-4EXpSefxKWL2CfRTI5N.jpeg.jpg,489,6,8,3,8.98
31,영이네 고향양꼬치,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_179%2F1548172170881DAhmi_JPEG%2FR3p2cSL8D2JQpXt4eH3JFidE.jpeg.jpg,43,50,2,8,9.36
32,후라이드참잘하는집 괴정감천점,4.55,,328,17,7,6,9.27
33,장미돼지국밥 괴정점,4.58,,266,28,7,7,9.38
34,배스킨라빈스 부산괴정점,4.49,,885,14,9,5,9.17
35,쉐라미과자점,4.38,,510,15,9,5,9.06
36,오사카삼겹살 괴정점,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200216_163%2F1581835212912t40go_JPEG%2Fg4v1sb6bWKNSV_yJLFjS5mxq.jpg,336,18,8,6,8.98
37,오복정,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180327_247%2F1522125962390PUhkj_JPEG%2FGSpWQHNhmLjXRzkG5JCois_9.jpg,85,27,5,7,9.17
39,설빙 부산괴정점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150902_123%2F1441120916511cHP1Y_JPEG%2F156478517635612_0.jpeg,210,104,6,9,9.35
40,거인통닭,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190707_133%2F1562490287599Ir24o_JPEG%2F4c_Y56YajaN8BjIhwF54cN4v.jpg,24,6,0,3,8.97
41,괴정분식,4.47,,829,87,9,9,9.47
42,향촌돼지국밥,4.53,,411,39,8,8,9.43
43,풍산면옥,4.38,,44,32,2,8,9.16
44,쑝쑝돈까스 괴정점,4.43,,459,18,8,6,9.17
45,고구려짬뽕10101 괴정점,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180508_264%2F1525709251901EOlDS_JPEG%2FPnSXSo-525myJxZsXXhBNjy7.jpg,222,138,7,9,9.26
48,이삭토스트 괴정점,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_216%2F16533559367426UxOJ_PNG%2F%25B3%25D7%25C0%25CC%25B9%25F6_%25C4%25DC%25C4%25A1%25C1%25EE%25C5%25E4%25BD%25BA%25C6%25AE_400x400.png,504,11,9,5,9.2
49,남경,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220304_188%2F16463704760821ccp4_JPEG%2FScreenshot_20220304-101146_NAVER.jpg,195,18,6,6,9.03
50,리우,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190110_106%2F1547130993275AF7Qi_JPEG%2FxAgUCWHQv9YI0gJHQl5Aezcg.jpeg.jpg,997,26,9,7,9.36
51,오리명가빨간집,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200605_200%2F15913055567376KRJu_JPEG%2F7dOvWn2tI92ir6DchYFzZ_kI.jpg,54,44,3,8,9.28
52,불막열삼 괴정점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201109_105%2F1604904350819CPtGh_PNG%2F7V6md9BA1xm2Z6TUxwxTXz6Q.png,84,14,5,5,9.0
53,해닮코다리,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191218_277%2F1576639951119l90b1_JPEG%2F8ouvWp_AmfQKXZghTNFVXzq6.JPG.jpg,335,21,8,7,9.25
54,노랑통닭 부산괴정점,4.5,,234,26,7,7,9.3
55,두끼 부산괴정점,4.36,,357,5,8,2,8.78
56,병천황토방순대 괴정점,4.32,,279,61,7,8,9.2
57,괴정춘천닭갈비,4.45,,88,17,5,6,9.13
60,부산횟집,4.39,,53,3,3,1,8.63
61,마라촨향 & 양꼬치,4.64,,139,13,6,5,9.26
