,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,면채움,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_174%2F15758928416284RLuN_JPEG%2Fgw5js3k5vp9RD9dfdtfrt8wi.jpg,591,214,8,9,9.43
1,배비장보쌈구서본점,4.42,,2190,397,9,9,9.42
2,마파람해물찜해물탕 구서본점,4.38,,374,169,8,9,9.36
6,금빙고,4.51,,149,16,5,4,9.03
9,고기굽는남자 구서점,4.62,,371,264,7,9,9.58
10,류서방짬뽕 본점,4.47,,639,204,9,9,9.47
11,타이백스트릿,4.36,,162,72,5,8,9.2
12,더도이돼지국밥 구서점,4.33,,659,133,9,9,9.33
13,전원숯불 부산구서점,4.34,,594,150,9,9,9.34
14,구서칼국수,4.6,,104,107,4,8,9.42
15,황금오리,4.42,,118,69,4,8,9.24
16,철마한우로스구이,4.72,,126,60,4,7,9.46
17,오륙도낙지,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_61%2F1593396760719TAU4n_JPEG%2FF_oZq8HMJZxBVTowPDkELp_7.jpg,1241,141,9,9,9.38
18,소풍경 구서점,4.45,,274,44,7,7,9.25
19,하노이포포,4.56,,309,10,7,3,9.04
20,도너츠윤 부산금정점,4.75,,230,51,7,7,9.55
21,사계진미숯불닭갈비 부산구서점,4.64,,157,75,5,8,9.48
22,진가원 본점,4.4,,530,88,8,8,9.3
23,오복미역 구서점,4.25,,415,24,8,5,8.91
26,생활생돈 구서본점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200807_107%2F15967292642305oT05_JPEG%2Fpdm7L0Hap6xZeTG3iylppBK2.jpg,381,151,8,9,9.51
27,마베,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201208_139%2F1607364934294QFvc1_JPEG%2Fvr8YjC0dpP9wi5u5TVEqWntN.jpg,447,77,8,8,9.53
30,수,4.65,,69,113,2,8,9.43
31,버거앤프라이즈 부산구서점,4.63,,140,25,5,6,9.31
32,옥수관,4.57,,205,51,6,7,9.35
33,고고커피,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220419_283%2F1650343356153h8oOv_JPEG%2FKakaoTalk_20220419_113533402_02.jpg,652,254,9,9,9.5
34,두건쓴형제 구서직영점,4.81,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220113_120%2F1642036301235w5Asa_JPEG%2FSD5D0934.jpg,74,35,2,6,9.43
35,범일돼지국밥,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180704_36%2F1530686033242uHxxi_JPEG%2FIiMynZRfQssC7mJMlIAiQMQx.jpg,860,297,9,9,9.49
36,현풍식당,4.74,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210427_93%2F1619495146189LBliM_JPEG%2F8RKvEGoMyQ8OV8bc44wg9dIo.jpg,74,136,2,9,9.6
37,옵스 구서골드점,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_241%2F1441068884600CbtgP_JPEG%2FSUBMIT_1437643784806_16609198.jpg,677,51,9,7,9.34
38,배스킨라빈스 부산구서역,4.5,,1177,18,9,4,9.1
39,콩밭골순두부,4.51,,431,72,8,8,9.41
40,개미집 금정직영점,4.48,,490,127,8,9,9.46
41,가야밀면,4.47,,412,80,8,8,9.37
