,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
1,하기연진주냉면,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200208_250%2F1581130287608D4agV_JPEG%2FgKLERIgCXHpp9uZjFvz5E-ef.jpg,1581,390,9,9,9.28
2,누아키친,4.53,,211,95,6,8,9.39
4,목구멍 하단점,4.6,,558,370,8,9,9.58
5,부산삼겹살 하단본점,4.51,,256,147,6,8,9.37
7,조영란동래삼계탕,4.5,,388,186,7,9,9.46
9,아논,4.67,,416,130,8,8,9.57
10,우적 하단점,4.78,,203,98,6,8,9.64
11,올타미스터스시 하단점,4.45,,853,364,9,9,9.45
12,하단만족,4.45,,303,272,7,9,9.41
13,숙성고 통삼겹무한리필,4.42,,89,106,3,8,9.22
14,하단 산수갑산 숯불갈비,4.42,,536,126,8,8,9.32
15,한강,4.69,,29,11,0,1,8.87
18,영광양대창,4.5,,28,58,0,6,9.08
19,꽃마름 부산하단역점,4.48,,1190,176,9,9,9.48
20,하단끝집,4.63,,92,75,3,7,9.35
21,아웃백스테이크하우스 부산하단점,4.46,,3783,430,9,9,9.46
22,유메,4.59,,204,52,6,6,9.29
25,정성순대 하단점,4.68,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_148%2F1648626366436mYVVW_JPEG%2FKakaoTalk_20220330_163452466.jpg,160,60,5,6,9.36
26,홍갓츠,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211223_182%2F1640262135662IQuWS_JPEG%2F20211013_184546_HDR.jpg,311,159,7,9,9.68
28,참치공장,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191204_107%2F15754432024561OPmq_JPEG%2FQLSI1olveyjgHMWtY1PrJZWz.jpg,58,74,1,7,9.21
29,쉬림핀,4.98,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220621_13%2F1655783537061JUgRM_JPEG%2F001.jpg,97,33,3,4,9.46
30,하남돼지집 부산하단점,4.32,,247,348,6,9,9.26
31,오늘김해뒷고기 본점,4.48,,443,270,8,9,9.46
32,인오프,4.63,,271,318,7,9,9.59
33,니뽕내뽕 아트몰링하단점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220418_277%2F1650257346973R0sxr_JPEG%2Fcommon.jpeg,249,60,6,6,9.13
