,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,백화양곱창,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_267%2F1443162416138UpBDv_JPEG%2F166875555671753_7.jpg,274,1645,8.79
1,18번완당집,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_208%2F1443162309178gY9sH_JPEG%2F166875555523120_5.jpg,1859,1255,9.25
2,한월횟집,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200908_99%2F1599547760614kLS5i_JPEG%2FX9kR7miInrwpUJcr-N4W2BPo.jpg,1176,1107,9.09
3,부산명물횟집,4.14,,380,429,8.57
4,카마타케제면소 부산남포점,4.38,,424,448,8.88
5,백호상회,4.22,,133,645,8.5
6,제일산꼼장어장어구이,4.29,,682,337,8.9
7,용호동할매팥빙수 남포점,4.4,,112,27,8.5
8,고등어정식할매집,,,9,135,
9,클라우드밤,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_204%2F1573196877602hlriG_JPEG%2FvCHda2ey8y0-Cl5aUsHr0X3J.jpeg.jpg,187,128,8.61
10,오복식당,,,6,135,
11,한양정식,,,1,35,
12,대양양곱창,4.44,,189,118,8.54
13,홍주방 남포본점,4.51,,519,85,8.96
14,경북대구횟집,4.1,,426,96,8.48
15,영도다리횟집,4.48,,221,224,8.78
16,남포스시,4.55,,408,317,9.02
17,두끼 부산남포동점,,,404,118,
18,해왕상회,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190612_22%2F1560351366862J9kVV_JPEG%2FkS48YP3hUHC2L5T4It1szBQ-.JPG.jpg,155,910,8.73
19,홍대개미 남포점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170808_152%2F15021799348388frDL_JPEG%2F186758574234718_0.jpeg,467,301,8.85
20,선어마을,4.34,,71,152,8.44
21,옵스 광복롯데점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_136%2F1441067496766LGiAc_JPEG%2FSUBMIT_1437643997643_16414750.jpg,5470,331,9.26
22,신흥반점,4.38,,440,165,8.76
23,헤븐,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220411_84%2F1649680394578QjOcj_JPEG%2FIMG_20220411_091019_469.jpg,56,22,8.81
24,뚜벅스 남포,4.88,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191019_132%2F1571412713142O7fM4_JPEG%2FwttxZ_tMb6VKoWEe0xpibiPH.jpg,610,724,9.58
25,범전동오뎅집,4.54,,191,76,8.64
26,75년 전통원조할매꼼장어,4.07,,93,140,8.17
27,영심이찐빵,3.95,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190416_243%2F1555372307428737UH_JPEG%2F8MriXHXDH2M1A0heilRLNFKF.jpg,19,143,8.05
28,남포동 원조 찹쌀호떡 본점,4.6,,31,401,8.82
29,남포물회,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190111_263%2F1547214996238PBSCc_JPEG%2Fkwpq7GI-xdHnGquQ0YgkiUjN.jpg,100,51,8.57
30,커피네루다,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200327_120%2F1585294638708SUIFU_JPEG%2Fq4aFhPa5fBpdopuVmEnn-WYC.jpg,536,169,9.15
31,백화양곱창1호,4.1,,61,96,8.2
32,달빛맥주 부산남포점,4.09,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190731_76%2F1564579913826h9SSU_JPEG%2FFPTd3SAT05miSDS5Hoqhtpf2.jpg,78,4,8.19
33,신경북상회,4.58,,174,539,8.83
34,더숯불,4.34,,55,218,8.5
35,아날로그키친,4.56,,76,34,8.66
36,24시전주명가콩나물국밥,4.09,,167,9,8.19
37,초원장어구이꼼장어전문,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_130%2F1441001722431Oke0n_JPEG%2F106763508945152_0.jpg,72,40,8.49
