,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,톤쇼우,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_209%2F1548202119875NcBy6_JPEG%2FNcgAaxVX1h7lhQD45eJRD-xu.jpg,2320,1166,9,9,9.59
4,코하루,4.52,,1056,859,9,9,9.52
6,의정서,4.71,,239,284,5,8,9.55
7,이흥용과자점 부산대점,4.56,,2596,112,9,5,9.24
8,신육간,4.45,,345,439,6,9,9.39
9,촨촨향양꼬치,4.47,,103,363,2,9,9.33
10,블루그로토,4.58,,291,347,6,8,9.44
11,포도x시네마파라다이스,4.44,,271,358,5,8,9.28
12,면채움,4.45,,591,214,8,7,9.27
13,부산커피,4.58,,874,355,9,8,9.5
14,하나이미 부산대 본점,4.63,,560,375,8,9,9.61
15,소사베이커리,4.61,,385,320,7,8,9.49
16,나오리쇼쿠,4.61,,806,800,9,9,9.61
17,배비장보쌈구서본점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171025_177%2F1508899194217GmJHx_JPEG%2F30M81C0ADu6YmFg_VNnS77mi.jpg,2190,397,9,9,9.42
18,부산대 카츠안,4.55,,914,508,9,9,9.55
19,자마미등갈비,4.66,,211,188,4,7,9.4
21,마파람해물찜해물탕 구서본점,4.38,,374,169,7,7,9.18
24,컵넛,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200727_144%2F1595856197978KJ5ND_JPEG%2FvoPEbKmVzIKD5sxti0e9ZGX3.jpeg.jpg,578,688,8,9,9.49
26,쿠카이야,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200121_261%2F1579540203731xHcCR_JPEG%2Fzk1Mh-k1e6XlJ7ZOIqov3psA.jpg,461,302,8,8,9.29
27,구디너프,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220616_143%2F1655343966911O8Mvl_JPEG%2FDSC06610.JPG,364,266,6,8,9.43
28,곱창이야기 부산대점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210801_51%2F16277954868341Fwyi_JPEG%2FjMzpN4QlLj0snX_vPVTZ74O4.jpg,394,826,7,9,9.38
29,웬디스키친,4.65,,244,332,5,8,9.49
30,브런치가든숲,4.57,,156,130,3,5,9.13
32,스시심타카이,4.85,,114,335,2,8,9.63
33,모시모시,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151005_212%2F1444038658161hn2Jk_JPEG%2F166955588075554_0.jpg,364,782,7,9,9.35
35,서문국수,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200703_236%2F1593750968026fgcSN_JPEG%2F0N3EMVsBYappEKK0WR4RqcTs.jpg,402,151,7,6,9.41
36,심취,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220331_87%2F1648665277959Iise2_JPEG%2FIMG_20220319_184023_591.jpg,73,53,1,2,9.0
37,테스투치네,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220424_15%2F1650771885651rLWh0_JPEG%2F219FCAF3-4886-441B-B20E-CE323CE8440A.jpeg,137,178,3,7,9.41
40,4242샌드위치 본점,4.68,,258,117,5,5,9.28
41,인자한키친,4.71,,187,213,4,7,9.45
43,류서방짬뽕 본점,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191216_49%2F15764610919656I7yg_JPEG%2Ft7Yhlaox2VN-m4WymmhdxyQY.jpg,639,204,8,7,9.29
45,뉴숯불통닭 본점,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190509_110%2F1557338118081K3jBN_JPEG%2FRGng3eYY3trxknrpQJ-1CYD4.jpg,469,163,8,6,9.38
46,791버거트럭 부산대점,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220403_17%2F164892503425779GeG_JPEG%2F20211104_160444.jpg,295,136,6,5,9.33
