,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,더고집 장림점,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210214_174%2F1613267047455P36s6_JPEG%2F%25C5%25E4%25B8%25B6%25C8%25A3%25C5%25A9led.jpg,282,178,8,9,9.58
1,옛날칼국수&기계식밀면,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191208_163%2F1575800164202kRl2F_JPEG%2F5QYAa9k9oUwV4rYiSPLfc_CN.jpg,312,33,8,8,9.4
2,명륜진사갈비 장림점,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200116_131%2F1579158987626vyFv1_JPEG%2F0dWp3tCCJyQf8_iCUtr-VWDk.jpg,740,48,9,9,9.29
3,주왕산삼계탕 장림점,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191207_148%2F1575687224609tFqXX_JPEG%2FBpzQKi3b0C33Rvx3_O48kCaP.jpg,355,27,8,8,9.41
4,초가네장어구이 장림점,4.38,,56,56,3,9,9.26
5,길짜장,4.47,,358,86,8,9,9.45
6,대가면옥,4.5,,525,73,9,9,9.5
7,대박찜,4.73,,108,5,5,4,9.25
8,이대손칼국수,4.43,,284,58,8,9,9.41
10,월드통닭,4.53,,377,57,9,9,9.53
11,스타벅스 사하장림DT점,4.58,,604,50,9,9,9.58
12,당감제일냉면,4.47,,382,53,9,9,9.47
13,통영장어숯불구이 본점,4.44,,117,15,6,7,9.22
16,맛나감자탕 장림점,4.41,,290,73,8,9,9.39
17,김천통닭,4.56,,157,29,7,8,9.44
18,옛날통닭,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220430_128%2F1651296730003X4dRb_JPEG%2F20220419_222402.jpg,139,2,6,1,8.81
19,오복미역 장림점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190110_72%2F1547078752777Fae3E_JPEG%2FKa-dg-0hJ05D0504ur3f0k6K.jpg,143,34,6,8,9.28
20,더벤티 장림역스마트점,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_94%2F1592362308610bnDTF_JPEG%2FguxhSS81pQo8vNapEfQwT65_.jpg,135,2,6,1,8.93
22,홍콩반점0410 부산장림점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180403_288%2F1522751067539KtHpK_PNG%2FTimENC9Zp9xN1uSM1_Tr-2TR.png,533,33,9,8,9.33
23,하이뽕 장림본점,4.35,,524,110,9,9,9.35
24,채선당 부산 장림점,4.47,,351,28,8,8,9.37
25,남해해물탕,4.47,,134,41,6,9,9.41
26,앙빵베이커리,4.59,,664,10,9,6,9.35
27,원초김밥,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220421_5%2F1650499481271SG1s9_JPEG%2F20220420_125648.jpg,1146,2,9,1,8.71
28,통뼈감자탕 사하점,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161109_233%2F1478680744413AqWe5_JPEG%2F177053544425293_0.jpeg,505,33,9,8,9.2
30,투썸플레이스 장림점,4.46,,718,47,9,9,9.46
31,밀양돼지국밥,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_81%2F1441005662225Iq8ta_JPEG%2F106878583127139_0.jpg,86,10,4,6,9.17
32,행복한칼짜장,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200111_140%2F1578709391008IozPl_JPEG%2FRjTDL_3zeAgAnB2SuZRz9-iG.jpg,338,43,8,9,9.3
33,거인통닭장림점,4.51,,108,22,5,8,9.35
35,이차돌 부산장림점,4.33,,189,34,7,8,9.21
36,가야밀면,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190329_73%2F1553820488101Gyszs_JPEG%2FEpPg1HIq94wX_4m3mQCtyxu_.jpg,196,10,7,6,9.22
37,더W라운지,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_101%2F1629079601296MTGkO_JPEG%2Fgl2I1utdjMU3Q_RSzBTexAy7.jpg,70,4,4,4,8.77
39,쭈낙장림점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190425_70%2F15561942629745A0sr_JPEG%2FPl12zRhGJcXbxAY1qHttYWga.jpg,124,20,6,7,9.12
40,불막열삼 부산장림점,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201116_272%2F1605510673386bXFNc_PNG%2FJgwsbbfyYHex7EaNSZv4HFGF.png,60,13,3,7,9.03
41,아비앙또,4.47,,1004,13,9,7,9.31
42,맘스터치 부산장림점,4.26,,228,7,8,5,8.92
43,금빛코다리 부산장림점,4.21,,246,17,8,7,9.03
44,모가지,4.9,,29,8,1,6,9.5
46,혜화동돈까스극장 부산사하점,4.55,,69,8,4,6,9.21
47,금송아지 돌곱창,4.14,,19,6,0,5,8.64
48,토속정 삼계탕 &쭈꾸미,4.76,,33,2,2,1,8.98
49,얼쑤대박터지는집 장림본점,4.34,,126,21,6,7,9.12
50,신라해장국 장림점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_120%2F14410492304763aerE_JPEG%2F97151518847617_0.jpg,220,36,8,9,9.4
51,쇼쿠도,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200815_246%2F1597469388461oWXoU_JPEG%2F4lwwiGND9RYIfOX4VjjXPHw8.jpg,80,13,4,7,9.32
52,족발의장인 족장 부산장림점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180911_239%2F1536643219284yBMaW_JPEG%2FWdIicSSo5fdtry3yxsvjfati.jpg,202,32,7,8,9.34
53,하삼동커피 장림역점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200915_87%2F1600149456044thSHC_JPEG%2Fe3FnNKKITkSiELsQ1iwnbEcw.jpg,136,2,6,1,8.75
54,오시게,4.78,,29,3,1,3,9.14
55,보배반점 장림점,4.3,,261,95,8,9,9.28
56,설빙 사하장림점,4.49,,346,15,8,7,9.31
57,얌샘김밥 부산장림점,4.47,,151,1,7,0,8.71
58,상하이양꼬치,4.54,,66,31,3,8,9.34
59,대정수산 장림직영점,4.19,,176,55,7,9,9.15
60,역전할머니맥주 장림점,4.55,,208,10,7,6,9.27
61,장림연탄갈비,4.3,,101,15,5,7,9.06
62,통큰손칼국수,4.52,,105,6,5,5,9.12
63,이삭토스트 부산장림점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210719_72%2F1626659914046pukF0_JPEG%2F%25C7%25E3%25B4%25CF%25B0%25A5%25B8%25AF%25C7%25DC%25C4%25A1%25C1%25EE%2528%25B3%25D7%25C0%25CC%25B9%25F6%25C1%25D6%25B9%25AE%2529.jpg,443,12,9,7,9.37
