,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,이가네떡볶이,4.25,,2060,1758,9.22
1,상짱,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_285%2F1587174220692hut2c_JPEG%2Fkq9lTUjqHr_4r1gK7RoQojG4.jpg,777,430,9.3
2,돌쇠장작구이,4.54,,505,275,9.05
3,노티스,4.46,,582,895,9.12
4,본참치,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181120_213%2F1542681908719u2DCd_JPEG%2FfO2yZ47gBiHJyNwbGK0ItuOq.jpg,1588,952,9.35
5,중앙모밀,4.41,,980,589,9.15
6,돌고래순두부,4.28,,1286,913,9.15
7,라이프버거,4.6,,526,392,9.14
8,화국반점,4.08,,561,588,8.68
9,석기시대,4.51,,252,278,8.81
10,이재모피자,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_184%2F1443161063734QvxiG_JPEG%2F166875553438619_0.jpg,4997,3250,9.5
11,마구로테이블,4.9,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220322_251%2F1647914810340DBDwm_JPEG%2F220321.jpg,835,178,9.49
12,경주해관,4.72,,104,85,8.82
13,겐짱카레 본점,4.4,,36,80,8.5
14,부광돼지국밥전문점,4.35,,295,110,8.59
15,바븐,4.51,,505,177,8.96
16,백구당,4.41,,1635,309,9.16
17,장우손부산어묵 깡통시장본점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210810_130%2F1628576571451Q4Rmh_JPEG%2FXvKOFKdR0rfniaUwRckLIPd6.jpg,142,55,8.63
18,가온밀면 부산중앙점,4.33,,196,24,8.43
19,하라쿠시동,4.54,,115,20,8.64
20,동남아삘,4.76,,110,66,8.86
21,와키와키커피,4.55,,228,156,8.79
22,겐짱카레,4.37,,284,521,8.76
23,생강나무,4.71,,93,55,8.81
24,레귤러하우스,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200924_230%2F16009308936665hHpC_JPEG%2FRCj4foW09e86GACNAmj6HX-c.jpg,475,441,9.22
25,멸치쌈밥집,4.43,,257,54,8.67
26,바우노바백산,4.62,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_176%2F1582967534160DLDCk_JPEG%2F%25B3%25B6%25B8%25B8%25C4%25AB%25C6%25E42.JPG,194,158,8.72
27,부산 순대 돼지국밥 24시,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190514_213%2F1557816140307stF1n_JPEG%2FllpyamxAF1VJYg3QPuwi7c5T.jpg,220,18,8.7
28,동해물회,4.47,,189,87,8.57
29,밀곳,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211204_32%2F163855007416094oeM_JPEG%2FScreenshot_20211204-014642_Instagram.jpg,414,16,9.05
30,국제상인 짬뽕족발,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160715_210%2F1468513369182lFA1X_JPEG%2F176665415263216_0.jpeg,407,49,8.88
31,깡돼후,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210623_23%2F16243874771819FONd_JPEG%2FtQdqHK-FvqKfpW2vdd6AzCNa.JPG.jpg,255,258,8.78
32,후지라멘,4.55,,236,133,8.79
33,대나무집,4.49,,231,109,8.73
34,깡통골목할매 유부전골 본점,4.31,,849,573,9.05
35,양배추식당,4.57,,164,73,8.67
36,카페 더 그리너리,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191105_239%2F1572959999734GcL4w_JPEG%2FyTd8SykI0HtRFZGIb_nmTCuK.jpg,78,91,8.59
37,2Chef 본점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190516_290%2F1557989255565v1r8Q_JPEG%2FVTMI_EEBH2hnFv_l2fswSw1f.jpg,115,136,8.59
38,하나참치,4.97,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210410_251%2F1618051821678xE87Q_JPEG%2FO3t_-HcRmHc9TvWJDkwhTGjx.jpg,37,152,9.07
39,오봉집 중앙점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_247%2F1653318742850Xuf0t_JPEG%2F20220511_204623.jpg,101,21,
40,해밀,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210720_264%2F1626737465323qloHI_JPEG%2FGYR8Nc16z_zRcFeB9pCvQom2.jpeg.jpg,194,37,8.65
41,오붓한,,,19,15,
42,현미해물천국,4.41,,506,129,8.86
43,아치베이커리,,,187,213,
44,고치소우,4.74,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181011_155%2F1539234080077bAiXh_JPEG%2FR-366dcHBBORy498r4ynrZnx.jpg,32,34,8.84
45,올라샌드위치,4.77,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210705_158%2F1625486384621Rk3P8_JPEG%2FKakaoTalk_20210705_205801941_07.jpg,273,14,9.01
46,진맛집,4.2,,1152,119,8.79
47,황태를 벗삼아,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220505_78%2F1651723611253JBic0_JPEG%2FC07466AD-8560-47A7-BD09-CC68ADAE828A.jpeg,196,99,8.42
48,광복경양식 남포본점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_9%2F1616646494863P7LPP_JPEG%2FaYK4a4FOSAAn9HrEqVBqy4Iu.jpg,595,135,8.85
