,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,배종관동래삼계탕,4.5,,1954,904,9,9,9.5
1,타이빈,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190607_69%2F1559884892434WEDdA_JPEG%2FdB4Bq4k0b_PvRxXG-OZvxMFa.jpg,1976,667,9,9,9.46
3,모모스커피 본점,4.49,,2529,1729,9,9,9.49
4,홍고기집 동래점,4.45,,93,315,1,7,9.13
5,석정갈비,4.67,,374,181,6,6,9.37
7,공담,4.59,,382,399,6,8,9.45
8,주화담,4.57,,280,322,5,8,9.41
9,몽뜰,4.5,,1129,523,9,9,9.5
10,봉평막국수동래점,4.39,,3136,569,9,9,9.39
11,303화덕 동래점,4.48,,1780,428,9,8,9.4
12,심야의미식가,4.45,,264,212,5,7,9.21
13,화소랑,4.58,,183,179,3,6,9.22
14,소문난원조조방낙지본점,4.49,,1912,644,9,9,9.49
15,하나돈까스 온천점,4.46,,2073,537,9,9,9.46
16,해도초밥,4.31,,295,49,5,1,8.59
17,오노고로,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190806_149%2F1565061619527Watp8_JPEG%2FMhRG-biRo7XP595-H70jRyQA.jpg,392,415,6,8,9.41
18,씨트론과자점 동래점,4.44,,940,59,9,2,8.88
20,1984나폴리 동래직영점,4.65,,504,418,7,8,9.53
21,삼다진족,4.48,,736,284,8,7,9.3
22,원카츠 동래본점,4.63,,1638,644,9,9,9.63
23,오꼬식당,4.77,,385,201,6,7,9.55
24,가련한부엌,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_192%2F1441042415207Fph8D_JPEG%2FSUBMIT_1420146707993_36123982.jpg,464,397,7,8,9.38
25,미미루,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210609_276%2F1623221205250pijrd_JPEG%2FlcesWGj96Gq7cZLOqmdJtGV8.jpg,820,541,9,9,9.31
26,도오코오,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181222_62%2F1545463838519H2YvR_JPEG%2F3HUfC3YLfKS-5xs5u84jzvbJ.jpg,185,160,3,6,9.07
27,산장1988,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220120_65%2F1642690315532iO7xB_JPEG%2FKakaoTalk_20220120_235127987.jpg,183,157,3,6,9.23
28,오시게크래프트,4.85,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180827_90%2F1535341206184S9TnV_JPEG%2Fn5V_EiZLvytSR0uJCNBoBidw.jpeg.jpg,35,91,0,3,9.19
29,귀인,4.74,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190307_140%2F1551963742375Vw4ty_PNG%2F4j0pvxvLR5fKJdWMUMQpWv9J.png,326,434,6,9,9.68
30,안디아모,4.48,,175,255,3,7,9.2
32,귀화식당 사케의향,4.46,,44,58,0,2,8.72
33,소양강춘천막국수 동래점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220628_235%2F1656400000497hdqsQ_JPEG%2FKakaoTalk_20220628_153335809_05.jpg,189,336,3,8,9.23
34,참우돌양곱창,4.98,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211016_248%2F1634375709652o8YOW_JPEG%2FFHNwDymMdH0uua3_3zvnk0O6.jpg,374,147,6,5,9.6
35,고반식당 동래점,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220404_295%2F164903759325117Ubw_PNG%2F%25C7%25D1%25BB%25F3%25C2%25F7%25B8%25B23.PNG,771,502,8,9,9.76
36,밀보스79,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201113_209%2F1605250006720xLiQQ_PNG%2FfWAuUAu04_u_4IigcjBZcpb2.PNG.png,419,300,7,7,9.35
