,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,미성당납작만두 본점,4.17,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200101_25%2F1577881146057syBhv_JPEG%2FlQ-BDgZr1HLu84RLm1dTOtR5.jpeg.jpg,2067,999,9,9,9.17
2,회성각,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201117_126%2F1605598837324jxqLv_JPEG%2F6oekoZdp561gkvkYWDAAIK4T.jpg,922,683,9,9,9.47
3,진해숯불막창,4.3,,318,467,8,9,9.28
4,꿀빵,4.65,,244,270,7,9,9.61
5,정석회관,4.67,,257,299,8,9,9.65
6,노커커피,4.61,,137,260,6,9,9.55
7,달콤미술관,4.72,,89,91,4,7,9.46
8,텐고쿠,4.66,,636,283,9,9,9.66
9,하토,4.42,,113,78,5,7,9.18
11,도로라커피,4.44,,175,180,7,9,9.4
12,넬스커피,4.7,,213,224,7,9,9.66
13,이을감자탕 대명점,4.43,,1074,112,9,8,9.35
14,놋그릇과항아리,4.43,,75,101,3,8,9.23
16,덮밥장사장 대구대명점,4.58,,162,27,7,5,9.22
17,설맥 대구대명점,4.53,,54,23,2,4,8.99
18,프렙,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191212_252%2F15761586078813dtqD_JPEG%2FldY0ugs9LUNbglXnmOLGAs6a.jpeg.jpg,81,38,4,6,9.44
19,서문카스테라,4.45,,981,112,9,8,9.37
20,더 트럼펫,4.94,,112,116,5,8,9.78
21,69떡볶이통닭,4.5,,195,99,7,8,9.38
22,대쿠이 본점,4.66,,998,1009,9,9,9.66
23,도키메키,4.32,,208,126,7,8,9.2
24,베베케이크,5.0,,38,95,1,8,9.76
25,스시201 남산본점,4.46,,497,43,9,6,9.22
26,서문돈가스,4.47,,245,20,7,4,9.03
27,HIP 종로소맥 둘,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220204_235%2F16439622770033MP0A_JPEG%2F1643961480215.jpg,112,65,5,7,9.37
28,역전할머니맥주 남산점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191031_238%2F15725251356854O2lP_JPEG%2FVRa-ASAV-6lRuMp74d5ADpzy.jpeg.jpg,245,15,8,3,9.03
29,이바네,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201118_294%2F1605676542721FUJKS_JPEG%2FUjJhVbIKvjUPdA1qRc25bZ8j.jpg,228,273,7,9,9.52
30,샤브향 대명동계대점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220613_156%2F1655089235448TTBxU_JPEG%2F1655089021767.jpg,497,44,9,6,9.31
31,화닝꽝린,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200130_87%2F1580388250885UMpy5_JPEG%2FGHrxJFeoE-TiZZIWnz0b3kqi.jpg,126,150,6,8,9.37
32,교동면옥 대명점,4.36,,718,154,9,9,9.36
33,레드제플린,4.5,,14,48,0,7,9.16
34,스위치남산,4.88,,50,95,2,8,9.66
