,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,욱이네 불타는 조개구이&전골,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190603_286%2F1559566281922sGTrK_PNG%2FFbYWMsCkW3SbGg9SawXcCRGz.png,266,133,8,9,9.39
1,달테이블 부산다대포점,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160523_246%2F146399012289571Jd9_JPEG%2F176467507269670_0.jpeg,368,104,8,9,9.37
2,미스터스시다대낫개,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181212_103%2F1544605985498OCITc_JPEG%2FZepM4UdqRCzKdKcgSpw0o27G.jpg,332,116,8,9,9.32
3,보리에브레드팩토리,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210620_164%2F1624163186209N3xoL_JPEG%2FT0j4zjR32j6EgQLJwlUDzXIN.jpg,1288,250,9,9,9.43
4,썬업 다이브,4.54,,107,120,4,9,9.44
5,505 RESTAURANT,4.46,,212,105,6,9,9.4
6,가온밀면 다대포점,4.29,,452,167,9,9,9.29
8,해풍코다리,4.43,,1113,111,9,9,9.43
9,스타벅스 다대포DT점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,1839,41,9,8,9.38
10,봉평메밀마당 다대점,4.55,,339,40,8,7,9.37
12,일레븐 비스트로,4.38,,209,240,6,9,9.32
13,다대포생선가게,4.48,,231,52,7,8,9.36
15,다오리장어구이,4.52,,90,16,4,5,9.1
16,봄내멸치쌈밥,4.4,,135,44,5,8,9.24
17,하이뽕 다대포점,4.33,,218,77,7,8,9.21
19,장수삼계탕,4.19,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160921_202%2F1474448661712FxX94_JPEG%2F176870615063943_0.jpeg,248,40,7,8,9.07
21,하오칸,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_292%2F154823260835346QBS_JPEG%2FHqG9Cd8yw0f5oasuLtuqU3c_.jpeg.jpg,219,90,7,9,9.31
22,김서방부대찌개,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171230_127%2F1514632656919PGCSc_JPEG%2FLg42_PtVtLgw3KQ3thqb990h.jpg,187,19,6,6,9.23
23,착한소 다대점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181102_276%2F1541084466808yXchf_JPEG%2FEhU3NPgpVQaf8z7T3MaKGJ7a.jpeg.jpg,355,104,8,9,9.39
24,냉삼집 다대점,4.55,,163,40,6,8,9.41
25,연탄공장,4.38,,106,21,4,6,9.04
26,통영장어무한리필 다대점,4.3,,139,23,5,6,8.98
27,히스피커피,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220225_66%2F1645759617308cIWrB_JPEG%2F12931ED8-E342-4F50-874E-6E31467489CA.jpeg,187,49,6,8,9.64
