,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,베란다치즈,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200106_159%2F1578313490085jkvUb_JPEG%2F-Hv-Dh2j-Eb3XNhCJjEfuVjG.jpg,114,86,5,9,9.59
1,우렁각시와꽃길,4.88,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210910_50%2F1631240952292Oql8x_JPEG%2F6R-D5kCDYBNFcGpu9KhjdRDH.jpg,343,41,8,8,9.78
2,얼크니손칼국수,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191110_141%2F1573356958184O3Nyf_JPEG%2FTQ7DS3sDhx_Wj5QKdiE1_f41.jpeg.jpg,1600,331,9,9,9.53
3,금샘다방,4.68,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220603_23%2F16541833468644F0x0_JPEG%2FE4E9A992-A261-4FC1-8862-02764F12C7A7.jpeg,476,593,9,9,9.68
4,행복돼지국밥,4.72,,145,14,6,6,9.42
5,안나의정원,4.43,,174,96,6,9,9.37
6,원조동촌칼국수,4.61,,548,136,9,9,9.61
7,포항임곡물회,4.53,,214,18,7,6,9.25
8,청룡갈비,4.42,,213,20,7,7,9.22
9,만도리,4.19,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200207_293%2F1581048548422TnOvf_JPEG%2F9eev-DJK71gvx2_MsH6OJKwq.jpeg.jpg,140,59,5,8,9.03
10,채선당플러스 부산남산점,4.42,,272,65,8,8,9.32
11,가야포차선지국밥,4.66,,51,34,2,7,9.36
12,부산압구정한우갈비,4.17,,441,105,8,9,9.15
13,파스쿠찌 부산종합터미널점,4.46,,176,2,6,1,8.76
14,해뜨는주문진막국수,4.47,,334,55,8,8,9.37
15,범어사가야밀면,4.34,,107,6,5,4,8.86
16,시골밥상,4.14,,190,33,6,7,8.92
17,파리바게뜨 부산종합터미널점,4.39,,842,3,9,2,8.83
18,마당 국수,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160412_265%2F1460465978148k0mkW_JPEG%2F176362618957138_0.jpeg,29,3,1,2,8.98
20,수미김밥칼국수,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190408_216%2F1554722851705YHlmI_JPEG%2FoJMMBiCG3XH8LzFf0v2RXPbR.jpg,33,2,1,1,8.85
22,가마치통닭 남산점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190402_48%2F1554174005019Gqxpf_JPEG%2FkKxiewxN9FWD0XXbgfItkMOc.jpg,68,2,3,1,8.72
23,나고야,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190801_34%2F1564645343248X5Az1_JPEG%2FAg7HAcCbIQQEx7-rab_EP_BD.jpg,334,177,8,9,9.38
25,자금성,4.53,,60,1,3,0,8.69
26,윤휘 개성손만두,4.47,,268,26,7,7,9.27
27,하정아구찜,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190313_121%2F1552430034125avIUY_JPEG%2F-15Gg5c_AUMI06l686bJCJHe.JPG.jpg,58,23,3,7,9.25
28,로얄갤러리,4.46,,109,113,5,9,9.38
30,부산모밀,4.49,,382,90,8,9,9.47
33,다원식당,4.01,,217,3,7,2,8.41
35,디위드,4.81,,63,94,3,9,9.69
36,태창각,4.77,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191017_228%2F1571320795692aKmNX_JPEG%2FjY7oxXKnmT0VqkpB10hWDdPh.jpg,77,1,3,0,8.93
37,터미널식당,4.05,,138,2,5,1,8.33
38,투썸플레이스 부산남산점,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220323_83%2F16480044680494aPVl_JPEG%2F16480044504486226659272726792369.jpg,697,63,9,8,9.44
39,고려해장국,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190711_291%2F1562803464510SFjok_JPEG%2F0JLVUhZBB-iGg2MRID8KMXfo.jpeg.jpg,443,48,9,8,9.27
40,석정,3.79,,15,6,0,4,8.21
41,이삭만두,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200207_210%2F1581048327712Me0NN_JPEG%2FgbMqmzNLJmfCheaDPwRcg0zz.jpeg.jpg,137,12,5,5,9.14
42,가원,4.09,,394,5,8,3,8.59
44,두레아구찜,4.1,,50,8,2,4,8.56
45,가마솥,4.15,,43,7,2,4,8.61
47,동천장,4.31,,21,2,0,1,8.49
48,퇴근길회도매수산,4.48,,41,18,2,6,9.1
49,최고집참맛바다장어,4.54,,94,10,4,5,9.12
52,쉼터,4.13,,123,1,5,0,8.33
54,갑을칼국수,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_208%2F1548924704252cPsb0_JPEG%2FThHn_NQfs7-NJ8MKPoomkwlV.jpg,63,16,3,6,9.02
56,임진각식당,4.31,,210,48,7,8,9.19
59,둥굴레국밥,4.1,,75,2,3,1,8.34
61,그린하우스양과점,4.34,,52,2,2,1,8.56
63,장터식육도매식당,4.51,,121,14,5,6,9.19
65,다래성 남산점,4.11,,32,1,1,0,8.23
68,토담,4.52,,83,16,4,6,9.18
70,남산뭉티기,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201001_54%2F1601482883220cPdPA_JPEG%2FXpjnhiIVFrGYCWqM-DQjGQW2.jpg,53,21,3,7,9.41
75,신의밥상,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190216_160%2F15503242466575hBpw_JPEG%2FaYxOj6PRQjOhUTtcOzgOjNm6.jpg,141,16,6,6,9.25
76,아네이스,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_60%2F1441078062021UN9JL_JPEG%2FSUBMIT_1376451146142_21129761.jpg,328,16,8,6,9.14
77,산처럼,4.28,,13,1,0,0,8.38
78,명품달인김밥 본점,4.4,,643,39,9,8,9.32
82,강남웰빙보리밥,4.4,,516,48,9,8,9.32
84,남산도매횟집,4.13,,38,2,1,1,8.33
85,삼천포,3.92,,30,3,1,2,8.2
86,일하아구찜,4.55,,71,11,3,5,9.11
87,청운집,4.6,,10,2,0,1,8.78
88,다담,4.5,,29,1,1,0,8.62
94,이디야커피 부산청룡점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,212,3,7,2,8.94
96,오여사원조조방낙지 본점,4.37,,50,1,2,0,8.51
99,흑미쌀짜장짬뽕,4.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220615_33%2F165525938801538pUA_JPEG%2F%25C8%25E6%25B9%25CC%25BD%25D2%25C2%25AB%25BB%25CD.jpg,23,3,0,2,8.26
101,풍년오리박사,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_115%2F1440996883189XRoLv_JPEG%2F11567183_0.jpg,39,8,1,5,8.98
104,제빵소작,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191110_107%2F15733906273704LQr0_JPEG%2FIKD77FULTYSmHK1o0KkZ3WeP.jpg,1197,43,9,8,9.5
106,선어횟집,4.38,,29,1,1,0,8.5
107,가미아구찜,4.47,,278,19,8,7,9.29
109,샤브이찌,4.81,,144,29,6,7,9.59
110,우리마을돼지국밥,4.68,,33,3,1,3,9.04
120,온천장소문난손칼국수,4.39,,211,74,7,9,9.35
125,시골보리밥,4.47,,48,9,2,5,9.01
127,남산동 명태골,4.5,,52,1,2,0,8.64
130,합천삼가황토한우,4.58,,100,9,4,5,9.16
132,노포카페,4.63,,131,17,5,6,9.31
135,장가계,4.27,,146,14,6,6,8.97
140,장보고회수산,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190623_283%2F15612903341519sVJx_JPEG%2FG7m1Hf-Zv37rh3dlVgXIVd2v.jpg,50,7,2,4,8.81
143,막끌리네,4.63,,16,2,0,1,8.81
145,척척네,4.33,,38,12,1,5,8.85
