,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,부산대 포맨티코,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_74%2F1648607794603MWHTE_JPEG%2FKakaoTalk_20220330_112906736.jpg,1159,793,9,9,9.55
2,서빙고본점,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_49%2F1441104611110sScm6_JPEG%2FSUBMIT_1397096828431_34665985.jpg,311,284,7,9,9.52
3,모모스커피 본점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190713_219%2F1562954475147oWEEe_JPEG%2Fdk334ZS_mYyi_qfVl8r4L3l0.jpeg.jpg,2529,1729,9,9,9.49
5,설어정 부산대점,4.4,,1353,642,9,9,9.4
8,비윤,4.46,,454,476,8,9,9.44
9,대길숯불갈비,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190518_148%2F1558138950856dhY2l_JPEG%2FGKc244s1oa8lg19LULFDBr7h.jpg,463,391,8,9,9.42
12,블루그로토,4.58,,291,347,7,9,9.54
13,구디너프,4.57,,364,266,8,9,9.55
15,밤비노72,4.8,,121,57,4,6,9.46
16,이솝,4.76,,166,118,5,7,9.52
19,디프런트데이즈,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_95%2F158279098050408DM0_JPEG%2FShokdktm-Z91OW-110sWOne2.jpeg.jpg,265,281,6,9,9.46
20,소문난초량할매쭈꾸미,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190616_229%2F1560683418680lvNpo_JPEG%2FkQKCznW3KpdIdCDnlsySz5MK.jpg,505,381,8,9,9.47
22,스시마이우 부산대점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210128_179%2F1611825421944W1bsG_PNG%2Fl8sGNGLTVhBNB68pcxDvkaZz.png,516,189,8,8,9.32
24,스시심타카이,4.85,,114,335,3,9,9.73
25,정희옥스시 부산대점,4.43,,551,117,8,7,9.25
27,오시게크래프트,4.85,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180827_90%2F1535341206184S9TnV_JPEG%2Fn5V_EiZLvytSR0uJCNBoBidw.jpeg.jpg,35,91,0,7,9.51
28,도르샐러드,4.75,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20200126_192%2F1579968266822FQNEN_JPEG%2FIMG_1931-.jpg,596,202,9,8,9.67
29,한울타리,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190616_260%2F1560685312101Jfl8I_JPEG%2FKs6IbpKxa9-EvyMw18V7w2I1.jpg,295,16,7,3,8.89
31,들마루연탄오리불고기,4.75,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180430_63%2F1525057839260riXU4_JPEG%2FfoAtMPKdX5Lt98s71KDifLi_.jpg,48,105,1,7,9.43
32,신짜글이닭발 부산대점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_184%2F1593410439184oBuJw_JPEG%2F7IYRXCJGhH5flokQVmeks66_.jpg,152,321,4,9,9.45
34,소문난30년전통손칼국수,4.38,,704,149,9,8,9.3
36,원조소문난칼국수,4.41,,1551,123,9,7,9.25
37,조개반장,4.81,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210719_88%2F1626658795816AagvL_JPEG%2F7uioVDqgWL66VYuIz3a24UgM.jpeg.jpg,159,65,4,6,9.47
38,서문국수,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200703_236%2F1593750968026fgcSN_JPEG%2F0N3EMVsBYappEKK0WR4RqcTs.jpg,402,151,8,8,9.59
39,오야지스시,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200106_50%2F1578321199045qDywg_PNG%2FK5LUwEcNhXrUIcvsULeQ4mNP.png,248,89,6,7,9.35
40,ola,4.95,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211003_34%2F1633262271311Bqa9K_JPEG%2Fmgtg_23DmkMBJZKvh_yPiaFq.jpeg.jpg,80,46,2,5,9.49
41,백년가마솥 옛날통닭,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211126_43%2F1637908993035Qsc8q_PNG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD.png,282,9,7,2,8.89
42,부산대 퇴근길,4.69,,182,98,5,7,9.45
43,금문,4.41,,249,108,6,7,9.19
44,일심당 부산대점,4.24,,344,44,7,5,8.88
45,명성곱창,4.38,,79,71,2,6,9.0
47,김가네 삼색칼국수,4.29,,534,142,8,7,9.11
48,본토빈,4.52,,185,132,5,7,9.28
49,카페안길,4.95,,88,37,3,5,9.51
50,25디셈브리스,4.84,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180322_278%2F1521709270524qyerj_JPEG%2FE6ZAwLl33ERs-ntCbdQ3C_hO.jpeg.jpg,318,152,7,8,9.72
51,튀김집 커피집,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170712_123%2F1499830750534F3mys_JPEG%2F186661557134491_0.jpeg,531,21,8,4,9.11
52,티앤북스,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220606_117%2F1654447544196CPEch_JPEG%2F56C7BD81-866A-405A-95E8-FC6B84CDE7F6.jpeg,159,167,4,8,9.49
54,명랑핫도그 온천장역점,4.41,,300,9,7,2,8.81
56,맥가이버 손칼국수,4.49,,426,157,8,8,9.39
57,경보관,4.27,,197,34,6,5,8.89
59,살몬살롱,4.83,,139,57,4,6,9.49
60,꿀돼지문현곱창,4.62,,90,44,3,5,9.18
61,구르메식당,4.72,,95,154,3,8,9.52
62,한스델리 부산대점,4.36,,147,52,4,5,8.94
63,어스베이킹,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210902_209%2F1630593167545mrULr_JPEG%2Fsi5Vse1ck7_eSTHFzJ7vw18S.jpeg.jpg,16,47,0,5,8.7
64,하루나,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_199%2F1627362226385WLG5J_JPEG%2F7bZWoT9lGqur05mn680vzKc2.jpg,267,325,6,9,9.64
65,라이옥베트남쌀국수 부산대점,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211020_167%2F16347090264095vfLM_JPEG%2FDvW5c0UK31yjfTEnLcPCl0tA.JPG.jpg,163,17,5,3,9.22
66,함박해,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200603_243%2F1591157169853RcwGm_JPEG%2FQOuuCJRk2Zi5wApp9t-y635j.jpeg.jpg,192,78,6,6,9.35
67,동운반점,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211217_89%2F1639699715595FyfRQ_JPEG%2Ftemp_0_16.jpg,746,370,9,9,9.39
68,던킨 부산허브스카이점,4.51,,592,15,9,3,9.03
69,우네 베이커리,4.9,,166,51,5,5,9.5
70,스타벅스 부산온천장역점,4.47,,2509,64,9,6,9.23
71,이솝페이블,4.52,,318,398,7,9,9.48
73,스웨터,4.87,,96,159,3,8,9.67
76,레오,4.76,,171,82,5,6,9.44
77,올어바웃커피바,5.0,,44,151,1,8,9.76
78,온천역칼국수,4.48,,397,31,8,4,9.06
80,다채원,4.52,,69,11,2,3,8.9
81,텐퍼센트커피 온천장점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181112_100%2F1541984925339o2jM4_JPEG%2FYb-aBNXAnbLiDoY06ragkeGj.jpg,271,10,7,2,8.83
82,가덕횟집,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220622_198%2F1655886664027TySTN_JPEG%2F20220622_172941.jpg,78,82,2,6,8.92
83,전통쑥밀면,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190626_28%2F1561527810790q1Fi6_JPEG%2FmcxO5liLeVjCqjGph12PigcR.jpg,341,192,7,8,9.23
84,산성숯불갈비냉면,4.14,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180525_185%2F1527211109821LISxf_JPEG%2F-AjSou-UQb3QeJ1AbaBoS6va.jpg,145,21,4,4,8.64
86,구수한아구찜,4.41,,209,81,6,6,9.11
87,럭키살롱,4.96,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201123_102%2F1606110734770ncm8A_JPEG%2FK1qD77mFiONRMX4nXY9VMQB4.jpg,27,53,0,5,9.46
