,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
1,톤쇼우,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_209%2F1548202119875NcBy6_JPEG%2FNcgAaxVX1h7lhQD45eJRD-xu.jpg,2320,1166,9,9,9.59
2,부산대 카츠안,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220721_275%2F1658388604772n67nc_JPEG%2FKakaoTalk_20220428_231749763.jpg,914,508,9,9,9.55
4,쿠카이야,4.39,,461,302,8,9,9.37
5,부산커피,4.58,,874,355,9,9,9.58
6,이흥용과자점 부산대점,4.56,,2596,112,9,6,9.32
7,791버거트럭 부산대점,4.71,,295,136,7,7,9.51
8,자마미등갈비,4.66,,211,188,5,8,9.5
9,도야지면옥 본점,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201117_44%2F1605597264452n2wbH_JPEG%2FnsYpQZ9qNj5v-HTYSeMX1-91.jpg,582,365,9,9,9.64
10,하나이미 부산대 본점,4.63,,560,375,9,9,9.63
16,샤브향 부산대점,4.42,,518,77,8,5,9.08
17,하얼빈,4.84,,285,134,6,7,9.62
18,부대꼬마김밥부산대본점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_158%2F1441068894076OKaDb_JPEG%2F126955498772784_0.jpg,2175,151,9,7,9.18
19,부산대우쭈쭈,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151005_279%2F1444038674911H9ccO_JPEG%2F166955588132570_0.jpg,860,431,9,9,9.55
20,에픽키친,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211231_144%2F1640880362698sBvIc_JPEG%2FKakaoTalk_20211231_005524118_01.jpg,317,122,7,6,9.43
21,오네쉬 요거트&그래놀라 부산대점,4.82,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20211117_77%2F1637138936496BXuIs_JPEG%2F%25B1%25D7%25B8%25AF.jpg,573,129,9,7,9.66
22,스시심타카이,4.85,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190710_155%2F1562736961177BXLcp_JPEG%2FsBwWHpM0tPixid3IA3ZaZ19h.jpeg.jpg,114,335,3,9,9.73
24,삼세랑,4.61,,219,67,6,5,9.23
25,마마도마 부산대점,4.45,,530,328,8,9,9.43
