,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,오사카,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200422_178%2F1587557250484aRAE0_JPEG%2Fe9krV0rB-6AJuuoWIR9X1QJ7.jpg,801,459,9,9,9.58
1,해주냉면,4.36,,585,192,8,9,9.34
2,동원장수촌,4.34,,799,328,9,9,9.34
3,효탄,4.56,,180,155,4,8,9.38
4,하기연진주냉면,4.28,,1581,390,9,9,9.28
6,양옥,4.48,,226,93,5,7,9.24
7,진스시,4.61,,121,88,3,7,9.33
9,목구멍 하단점,4.6,,558,370,8,9,9.58
10,늘솜,4.46,,324,136,6,8,9.32
11,동해옥함흥냉면 수제순대,4.38,,365,230,7,9,9.34
12,브라운박스커피,4.55,,463,150,8,8,9.45
13,365꼬막정찬,4.23,,441,142,7,8,9.11
14,소울레터커피컴퍼니,4.57,,215,256,5,9,9.49
16,식당3선 당리점,4.34,,1582,265,9,9,9.34
18,톤보,4.89,,238,210,5,9,9.81
19,오공떵번,4.6,,315,84,6,7,9.38
20,누아키친,4.53,,211,95,5,7,9.29
21,하단만족,4.45,,303,272,6,9,9.39
22,물고기한마리,4.49,,129,33,3,4,8.97
25,하단 산수갑산 숯불갈비,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210206_129%2F1612538954541uW32c_JPEG%2FywUlPMexwe9otI00T9ASqmVU.jpeg.jpg,536,126,8,8,9.32
26,남다른감자탕 부산괴정점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200216_251%2F1581834491725Bnrnc_JPEG%2FcW1plUh1lT8P7SzIh4I-2OE9.jpg,451,54,7,6,9.04
28,천지를먹다,4.93,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220128_280%2F16433358253810rVVT_JPEG%2F%25C0%25B0%25C8%25B8%25B9%25B0%25C8%25B8.jpg,474,66,8,6,9.67
29,이자카야 겸,4.56,,149,87,4,7,9.3
30,아리랑목살,4.44,,325,81,6,7,9.22
31,Cafe 화이트콩,4.66,,120,89,3,7,9.38
32,함흥냉면,4.41,,140,49,4,5,8.99
33,쿠우쿠우 괴정점,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220105_237%2F1641362888016W4zpR_PNG%2F%25C0%25CC%25BF%25EB%25BF%25E4%25B1%25DD162021126.png,929,156,9,8,9.22
35,아논,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_48%2F1652752549727O61Rs_JPEG%2FKakaoTalk_20220517_105531655.jpg,416,130,7,8,9.55
36,쉬림핀,4.98,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220621_13%2F1655783537061JUgRM_JPEG%2F001.jpg,97,33,2,4,9.44
37,베이커리그루,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220529_178%2F1653750984418goYhO_JPEG%2F20220426_133618.jpg,447,104,7,8,9.24
38,정성순대 하단점,4.68,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_148%2F1648626366436mYVVW_JPEG%2FKakaoTalk_20220330_163452466.jpg,160,60,4,6,9.34
39,할매칼국수,4.45,,487,60,8,6,9.19
41,유메,4.59,,204,52,5,6,9.27
43,베러먼데이 사하역점,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210126_71%2F1611639544108VsFO8_JPEG%2F3bUDonpEl5fQvegrJ7B475Gd.jpg,150,63,4,6,9.27
44,신라삼계탕,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200215_219%2F1581741587502Aalnl_JPEG%2FCg_hWXSkWMJRQ77yeNpWWxll.jpg,239,48,5,5,8.93
45,비스트로 이안,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200122_85%2F1579668653199Bd1cy_JPEG%2FlW08wCpZ9U7dvwI0XSHMCe57.jpg,162,67,4,7,9.19
47,1등숯불갈비,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151113_81%2F1447405486846BbV7c_JPEG%2F167059615942692_0.jpeg,582,46,8,5,9.12
48,꽃마름 부산하단역점,4.48,,1190,176,9,9,9.48
49,명륜진사갈비 부산괴정점,4.31,,577,54,8,6,9.05
50,황해만두,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170425_42%2F1493100962433zCUtF_JPEG%2F186374637373770_0.jpeg,40,26,0,4,8.94
51,청년다방 부산괴정점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181025_157%2F154045683287118E2B_JPEG%2FsPEb1bY2pKh58hFpbvDLaTGY.jpg,121,92,3,7,9.1
52,70연탄 하단점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210625_201%2F1624594852022AUWlL_JPEG%2FDDBA2KdP5Yq9SfBgQv9x1NEv.JPG.jpg,124,204,3,9,9.41
55,푸주옥 부산점,4.34,,1126,106,9,8,9.26
56,달리,4.77,,47,20,1,3,9.13
57,스타벅스 부산괴정역점,4.51,,2793,47,9,5,9.19
58,맛나감자탕 사하구청점,4.49,,405,10,7,1,8.81
60,상상짬뽕 당리점,4.38,,633,41,9,5,9.06
61,해루질삼합,4.75,,34,16,0,2,9.01
62,동양경양식,4.41,,101,25,2,3,8.79
64,맛있는고기에솜씨를더하다 사하점,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201230_1%2F16093023883798MvDP_JPEG%2FbGFBJiJaCnLUsnT5UM0rjY1J.jpg,320,26,6,4,9.17
65,정직유부 부산괴정점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_164%2F15669600178018bJRT_JPEG%2FAmzFaB18MQRFj-pwVtrWjywn.jpg,490,18,8,2,8.97
67,백년지기,4.2,,94,139,2,8,8.98
71,복담가 본점,4.41,,241,17,5,2,8.77
73,초원아구찜,4.48,,204,132,5,8,9.32
74,컴포즈커피 사하점,4.58,,113,3,2,0,8.72
75,더진국수육국밥 하단점,4.43,,371,119,7,8,9.31
76,더가리비,4.53,,122,85,3,7,9.25
77,전국밀면,4.53,,133,32,3,4,9.01
78,모름지기 연탄구이 괴정점,4.39,,167,32,4,4,8.89
79,경주국밥,4.24,,127,23,3,3,8.64
80,아웃백스테이크하우스 부산하단점,4.46,,3783,430,9,9,9.46
82,자성화맛집코다리네 부산사하점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170310_122%2F14891226532489w8TK_JPEG%2F186256545150894_0.jpeg,452,24,8,3,8.93
