,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
1,원조18번완당,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200518_4%2F1589774093424xH961_JPEG%2Fcja1TiNR07VOhQZYwGtRpfOy.jpeg.jpg,1876,770,9,9,9.44
2,부산족발,4.36,,3301,1608,9,9,9.36
3,편의방,4.44,,787,191,9,8,9.36
4,이가네떡볶이,4.26,,2158,1810,9,9,9.26
5,깡돼후,4.48,,368,295,7,9,9.44
6,영남냉면밀면,4.4,,778,244,9,8,9.32
8,옛날오막집,4.28,,508,400,8,9,9.26
9,박수식당,4.45,,85,197,1,8,9.21
10,CONNOISSEUR,4.93,,222,107,5,6,9.61
11,대정양곱창,4.57,,762,1180,9,9,9.57
13,양산집,4.43,,601,408,8,9,9.41
14,흑산도횟집,4.44,,352,112,7,7,9.24
15,거인통닭,4.37,,1998,1044,9,9,9.37
16,옥생관,4.4,,868,411,9,9,9.4
17,세정,4.48,,492,533,8,9,9.46
18,키세츠,4.59,,89,76,2,6,9.21
19,45번길카페&45번길쿠키,4.61,,142,73,3,6,9.25
20,한우뭉치,4.47,,688,211,9,8,9.39
21,몽실종가돼지국밥,4.75,,1839,460,9,9,9.75
22,철이네손찜닭,4.53,,153,98,4,6,9.19
23,동화반점,4.46,,475,306,8,9,9.44
24,공순대,4.39,,565,522,8,9,9.37
25,깡통골목할매 유부전골 본점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210713_124%2F1626151633399agdTx_JPEG%2Fc0dsqWc888cpBJi-r9WpM008.jpg,882,578,9,9,9.32
26,한방사리원,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_273%2F14410017460290yvzD_JPEG%2F106763544866654_0.jpg,200,40,5,4,8.83
27,대궁삼계탕,4.29,,240,42,6,4,8.83
28,뿌드망,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220411_40%2F1649655560661GuYSP_JPEG%2F4A675DAF-816A-403A-8207-2BCC0C1072E6.jpeg,41,9,0,1,8.72
29,목구멍 동대신점,4.89,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220423_163%2F1650704524381tmzly_JPEG%2FKakaoTalk_Photo_2022-04-23-17-47-29_003.jpeg,185,70,5,5,9.49
30,맛나기사식당,4.33,,373,109,7,7,9.13
31,부평양곱창1호점,4.38,,833,749,9,9,9.38
33,마루팥빙수단팥죽,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190216_223%2F1550317587864Cm0hU_JPEG%2FJHXafGIY_z2QeQ3370wQnAsG.jpg,77,27,1,3,8.88
34,아비오,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210326_120%2F1616748029125MTdpP_JPEG%2FD8ca4tKHApjCPPx-rCb-3Zo8.jpg,84,79,1,6,9.23
35,대성횟집,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191121_115%2F1574334296157fT266_JPEG%2FTbQL7NsvuughvzO6MKRMM8u_.jpg,126,239,3,8,9.34
37,대성밀냉면,4.23,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170623_9%2F1498206534817stSYE_JPEG%2F186573575871899_0.jpeg,312,285,7,8,9.11
38,옥성반점,4.26,,359,205,7,8,9.14
39,노드피자,4.57,,121,78,2,6,9.19
41,황해면옥 국제시장 본점,4.36,,170,71,4,5,8.94
42,꽃피는만석군,4.75,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200618_29%2F1592443072755C0SnG_PNG%2FDtqVmr_eYWsbfmDofHTHGe22.png,370,128,7,7,9.55
43,물마,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160304_101%2F14570658493427nitc_JPEG%2F176254536069_0.jpg,152,16,3,2,8.79
44,무언막걸리,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_130%2F1575901403927NS6IW_JPEG%2F-vnnQR1gDO3PoVoQpaQgX_KQ.jpeg.jpg,201,168,5,7,9.29
45,바사케 부민점,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_71%2F1548242792304a4gy4_JPEG%2FC-5_9NGdVTuYAIpHzynEUa8x.jpg,299,77,6,6,9.33
46,맘담은식당,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180920_42%2F1537414771282Hwjko_JPEG%2F5O4_Jd0-IchipFwCTj9kpYwm.jpg,299,44,6,4,8.99
47,삼호냉면,4.05,,90,62,2,5,8.59
48,골목손칼국수,4.34,,218,34,5,4,8.86
49,원조 깡통골목 비빔당면,4.15,,283,260,6,8,9.01
50,네거리집,4.8,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220622_275%2F1655886583083x6nzM_JPEG%2FKakaoTalk_Photo_2022-06-22-17-29-26_006.jpeg,95,48,2,4,9.26
51,쑝쑝돈까스 대신점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190109_32%2F1546995617014AVFwn_JPEG%2Fbb_GftptwwoxF_ffZ8p8VXDX.jpg,447,36,8,4,8.92
52,서대시장족발,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220426_63%2F1650940730667Cup1i_JPEG%2F%25BC%25AD%25B4%25EB%25BD%25C3%25C0%25E5%25C1%25B7%25B9%25DF_1.jpg,714,253,9,8,9.24
53,부산숯불갈비,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190104_279%2F1546598291215KU5UL_JPEG%2FEVq63aJRu46B9UkHAZzUdlqo.jpg,1022,309,9,9,9.37
54,금어가횟집,4.61,,142,250,3,8,9.41
55,새우까는집,4.59,,174,92,4,6,9.25
57,마산집돼지국밥,4.29,,137,49,3,4,8.77
59,고향김치전골,4.26,,363,431,7,9,9.22
60,해신해물찜,4.47,,271,219,6,8,9.33
62,도너츠윤 부산서구점,4.73,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210920_36%2F1632104210850o7T78_JPEG%2FYb3RfPgMXLCGE7U6C4767GVa.jpg,86,73,1,6,9.33
63,쁘렛,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180918_230%2F1537253820253ak1Bb_JPEG%2F1537251696251.jpg,178,46,4,4,9.19
64,낙원동 숯불 닭갈비,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170616_170%2F1497580989123FI5m2_JPEG%2F186565547558904_0.jpeg,190,119,5,7,9.31
67,전차카페,4.68,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181220_288%2F1545283040822MIE77_JPEG%2Fy4YXSwsbCclBBSI1XRQQ7Y8B.JPG.jpg,142,107,3,7,9.4
68,간판없는김치찌개,4.5,,18,153,0,7,9.16
69,인앤빈,4.69,,471,293,8,9,9.67
70,대동냉면밀면,4.14,,64,28,1,3,8.5
71,밀양집,4.23,,410,72,7,6,8.95
72,신창국밥 본점,4.19,,464,198,8,8,9.09
73,섬세한카츠,4.74,,156,54,4,5,9.32
74,원조최가네돼지국밥,4.33,,128,412,3,9,9.21
75,모젤과자점,4.37,,761,18,9,2,8.81
77,아라회전초밥,4.4,,178,48,4,4,8.9
78,와와샤브 대신점,4.51,,387,144,7,7,9.31
79,웨이아웃,4.74,,88,19,1,2,9.02
81,이자카야 키,4.43,,117,301,2,9,9.29
82,등촌샤브칼국수 부민점,4.25,,100,26,2,3,8.63
83,설스시,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210115_34%2F1610644520188LqiD2_JPEG%2FqMcRWqqSjCV2fnhucW-fmKjU.jpeg.jpg,902,309,9,9,9.55
84,시골집,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_105%2F15482394107512OetE_JPEG%2FiKAgPNYV43PpIIfaWBi5J5Jv.jpeg.jpg,136,63,3,5,9.16
85,대양곱창연탄구이,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211230_11%2F1640832218305BmwzX_JPEG%2FDSJ_2116.jpg,321,459,7,9,9.48
86,안쪽집,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190304_33%2F1551669112045sLxFx_JPEG%2FxiYyOSW45VI-gtvj7NZAQfcA.jpeg.jpg,182,171,5,7,9.27
88,사거리분식,4.07,,2867,201,9,8,8.99
89,후라이드참잘하는집 대신부민점,4.32,,337,15,7,1,8.64
90,우수식당,4.47,,160,174,4,7,9.21
91,오네쉬 요거트&그래놀라 동아대부민점,4.77,,312,116,7,7,9.57
92,만월집 동대신점,4.36,,133,22,3,2,8.68
93,카페윤,4.46,,27,7,0,0,8.56
94,정직유부 부산서대신동점,4.37,,246,7,6,0,8.59
95,바른김밥,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200719_182%2F1595115313132S7xDi_JPEG%2Fkbn3PgXgDqugb50ilTGwKh40.jpeg.jpg,210,5,5,0,8.62
96,본죽&비빔밥cafe 동아대병원점,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220628_291%2F1656371086356apAAw_JPEG%2F2206_%25BB%25EF%25BB%25F6%25C0%25E5_%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg,274,1,6,0,8.59
98,가마치통닭 서대신점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210705_297%2F1625459361451Q92e6_JPEG%2FNx4XtQPLV_PCNVVHBtdaupvT.jpg,239,5,6,0,8.62
99,겐슈,4.73,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210118_80%2F1610969770487QYeF2_JPEG%2Fv9kNwCDBXPiPuWazGAJxA9jp.jpg,21,8,0,1,8.91
100,대궁삼계탕,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200819_234%2F1597824996759MV0hC_JPEG%2F2It1x6CeyUINDnca1WTP1ISi.jpg,71,15,1,2,8.87
101,BHC치킨 부산대신점,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220427_300%2F1651023392796xVWaL_PNG%2F%25C4%25A1%25C6%25FE%25B4%25E7_%25B3%25D7%25C0%25CC%25B9%25F6_%25B0%25F8%25C5%25EB%25BA%25CE%25B0%25A1%25C1%25A4%25BA%25B8_%25C0%25CC%25B9%25CC%25C1%25F6.png,179,7,4,0,8.55
102,오륙도족발,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200502_2%2F1588388110590ohnFW_JPEG%2FYPywGVSSxvHqhL_A9Ia3R5sM.jpg,174,146,4,7,9.28
103,화반 부민점,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180810_275%2F1533859250757DXx4j_JPEG%2F8KfH88aGwdSXcjb9FUhjLMk_.jpg,234,74,5,6,9.26
104,정직유부 부산부민점,4.51,,479,32,8,3,9.01
105,몽상가들,4.57,,175,238,4,8,9.39
106,두레마을식당,4.38,,275,45,6,4,8.92
107,스시무라,4.65,,218,32,5,3,9.09
108,영의루,4.54,,263,64,6,5,9.16
109,덕분생선구이,4.28,,167,13,4,1,8.54
110,편의방,4.22,,118,58,2,5,8.76
111,미술공방 남포본점,4.73,,320,152,7,7,9.53
115,특수고기,4.82,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191106_30%2F1573028679335vzkMz_JPEG%2FAY80qTtfnhZ5zDQsqHA2ggRG.jpg,106,117,2,7,9.52
116,공차 부산동대신점,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201201_281%2F1606780240617e6mka_JPEG%2FpM31Ne9WC5fFI3qGe5e9TOvd.jpg,449,8,8,1,9.01
117,153구포국수 대신점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220215_82%2F1644912133866gnyME_JPEG%2F153%25B1%25B8%25C6%25F7%25B1%25B9%25BC%25F6_%25B4%25EB%25BD%25C5%25C1%25A1.jpg,429,21,8,2,8.82
120,부민정,4.52,,146,19,3,2,8.84
121,미도리우동,4.61,,82,72,1,6,9.21
122,광화냉면,4.53,,79,42,1,4,8.97
123,참미담,4.45,,167,78,4,6,9.11
124,언더베이크,4.52,,328,119,7,7,9.32
125,청죽,4.26,,93,55,2,5,8.8
126,재재,4.52,,48,27,0,3,8.86
127,대신육전밀면,4.46,,238,33,5,4,8.98
128,고봉민김밥인 부산구덕운동장점,4.35,,560,6,8,0,8.61
129,고집센그집갈비탕 부산대신점,4.35,,351,16,7,2,8.75
130,정희옥스시 서대신점,4.37,,220,43,5,4,8.89
131,제이레브,4.47,,171,99,4,6,9.13
132,금룡반점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_98%2F1441001544345JPKYg_JPEG%2F106762544938405_0.jpg,107,8,2,1,8.67
133,마마초밥 서대신점,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210929_293%2F1632879718220pcj3N_JPEG%2FduIuSS-u6WQh3xlryPFwTXOM.jpg,33,5,0,0,8.6
134,새벽숯불가든 부산대신점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220102_267%2F1641121497609cPmrs_JPEG%2Fimage-7728497378576280187.jpg,179,12,4,1,8.69
135,3초삼겹살,4.77,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_265%2F1582701369399zgFCM_JPEG%2FqU_H-LQlt7bcinFDmN83UIFr.jpg,58,22,0,3,9.11
136,옹녀갈치 강쇠장어,4.25,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180407_297%2F1523102878038RLhdq_JPEG%2F9kqdolI43gBh3RKOFXMtAAiz.jpg,36,29,0,3,8.59
137,원조밀면,4.2,,251,196,6,8,9.06
138,맛있는고기에 솜씨를 더하다 대신점,4.42,,129,12,3,1,8.66
139,스시하나,4.58,,265,24,6,3,9.04
140,스타벅스 부산동대신역점,4.51,,2109,60,9,5,9.19
141,백초밥,4.38,,181,66,4,5,8.96
142,카페체리쉬,4.5,,14,67,0,5,9.0
143,김삿갓돼지국밥,4.47,,263,50,6,4,9.01
145,족발의장인 족장 부산대신점,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191231_106%2F15777754814086yKgH_JPEG%2F_Jszz1r5R7_qaJKxpKJo8V3x.jpg,129,22,3,3,8.75
146,소문난돼지국밥,4.12,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190731_33%2F1564550708265MG8iH_JPEG%2Fgx2fR3sYPfyjQUK1nOXUNBhj.jpg,164,265,4,8,8.94
147,카페제노아,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210216_283%2F1613445621793t2zhE_JPEG%2F35qVYIxekbd9OB8SbIy62Izh.jpg,282,220,6,8,9.49
152,밀양돼지국밥,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_39%2F1440999151178rw9vt_JPEG%2F11578726_0.jpg,309,18,7,2,8.69
153,북창동순두부 부산동아대점,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220426_173%2F1650957689515MtJ0S_JPEG%2FLA%25B0%25A5%25BA%25F1_%25B0%25E8%25B6%25F5%25B8%25BB%25C0%25CC%25BC%25BC%25C6%25AE_%25B9%25E0%25B0%25D4_%25B5%25B9%25BC%25DC%25C7%25D5%25BC%25BA.jpg,399,22,7,3,8.85
154,밀양숯불돼지갈비,4.43,,58,37,1,4,8.87
155,소일창 부민점,4.65,,100,78,2,6,9.27
156,길 세이로무시 부평점,4.68,,182,291,5,8,9.52
157,홍주방 부민직영점,4.61,,441,69,8,5,9.27
158,밀양순대돼지국밥,4.24,,643,169,8,7,9.06
159,시골한방돼지국밥부민점,4.35,,546,79,8,6,9.09
160,이태리광수,4.45,,159,101,4,6,9.11
161,레가토 커피로스터스,4.4,,64,25,1,3,8.76
162,동경초밥,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_182%2F1441061023364qt5NQ_JPEG%2F106377546671412_0.jpg,62,23,1,3,8.6
163,소문난똥집이모,4.33,,137,276,3,8,9.13
164,동궁횟집,3.88,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210709_295%2F1625814605763RG5Jb_JPEG%2FcagWluAKm0YiPrhEoe3fvT8p.jpeg.jpg,42,4,0,0,7.98
