,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,더고집 장림점,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210214_174%2F1613267047455P36s6_JPEG%2F%25C5%25E4%25B8%25B6%25C8%25A3%25C5%25A9led.jpg,282,178,8,9,9.58
1,옛날칼국수&기계식밀면,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191208_163%2F1575800164202kRl2F_JPEG%2F5QYAa9k9oUwV4rYiSPLfc_CN.jpg,312,33,8,8,9.4
2,초가네장어구이 장림점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210719_22%2F1626689666469a1WQ0_JPEG%2FTcQm5_wW34Nrw31bzm9iQ758.jpeg.jpg,56,56,3,9,9.26
3,주왕산삼계탕 장림점,4.51,,355,27,8,8,9.41
4,명륜진사갈비 장림점,4.29,,740,48,9,9,9.29
5,길짜장,4.47,,358,86,9,9,9.47
6,이대손칼국수,4.43,,284,58,8,9,9.41
7,대가면옥,4.5,,525,73,9,9,9.5
8,통영장어숯불구이 본점,4.44,,117,15,6,7,9.22
9,대박찜,4.73,,108,5,5,5,9.33
10,월드통닭,4.53,,377,57,9,9,9.53
11,옛날통닭,4.51,,139,2,6,1,8.81
12,남해해물탕,4.47,,134,41,6,9,9.41
15,당감제일냉면,4.47,,382,53,9,9,9.47
17,맛나감자탕 장림점,4.41,,290,73,8,9,9.39
18,원초김밥,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220421_5%2F1650499481271SG1s9_JPEG%2F20220420_125648.jpg,1146,2,9,1,8.71
19,금송아지 돌곱창,4.14,,19,6,0,5,8.64
20,행복한칼짜장,4.32,,338,43,8,9,9.3
21,김천통닭,4.56,,157,29,7,8,9.44
22,채선당 부산 장림점,4.47,,351,28,8,8,9.37
24,더벤티 장림역스마트점,4.63,,135,2,6,1,8.93
25,앙빵베이커리,4.59,,664,10,9,6,9.35
26,홍콩반점0410 부산장림점,4.41,,533,33,9,8,9.33
27,오복미역 장림점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190110_72%2F1547078752777Fae3E_JPEG%2FKa-dg-0hJ05D0504ur3f0k6K.jpg,143,34,7,8,9.3
28,통뼈감자탕 사하점,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161109_233%2F1478680744413AqWe5_JPEG%2F177053544425293_0.jpeg,505,33,9,8,9.2
29,하이뽕 장림본점,4.35,,524,110,9,9,9.35
33,아비앙또,4.47,,1004,13,9,7,9.31
34,거인통닭장림점,4.51,,108,22,5,8,9.35
35,투썸플레이스 장림점,4.46,,718,47,9,9,9.46
36,밀양돼지국밥,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_81%2F1441005662225Iq8ta_JPEG%2F106878583127139_0.jpg,86,10,4,6,9.17
38,더W라운지,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_101%2F1629079601296MTGkO_JPEG%2Fgl2I1utdjMU3Q_RSzBTexAy7.jpg,70,4,4,4,8.77
40,본죽 부산장림동점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210910_267%2F1631251422069sVCzx_JPEG%2Ffj-rT0LKvOcH2RQHzvUciHrd.jpg,239,3,8,3,8.91
41,불막열삼 부산장림점,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201116_272%2F1605510673386bXFNc_PNG%2FJgwsbbfyYHex7EaNSZv4HFGF.png,60,13,3,7,9.03
42,가야밀면,4.5,,196,10,7,6,9.22
43,부산왕족발,4.44,,44,9,2,6,9.06
44,이차돌 부산장림점,4.33,,189,34,7,8,9.21
45,모가지,4.9,,29,8,1,6,9.5
46,얼쑤대박터지는집 장림본점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191208_29%2F1575793638105WU0gs_JPEG%2FBDsxWvjzT4tuC93oVnG3fIl6.jpg,126,21,6,7,9.12
47,컴포즈커피 장림하나병원점(장림점),4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200814_175%2F1597380651552REDQ3_JPEG%2FiaOGCIPQOpnB6n7ok4dc8ptr.jpg,236,2,8,2,8.79
48,쭈낙장림점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190425_70%2F15561942629745A0sr_JPEG%2FPl12zRhGJcXbxAY1qHttYWga.jpg,124,20,6,7,9.12
50,쇼쿠도,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200815_246%2F1597469388461oWXoU_JPEG%2F4lwwiGND9RYIfOX4VjjXPHw8.jpg,80,13,4,7,9.32
51,설빙 사하장림점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211130_258%2F1638263662974jMd2i_JPEG%2FE3084891-E1B1-42BD-AE61-232E6D4ABBF4.jpeg,346,15,8,7,9.31
52,장림연탄갈비,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181121_87%2F1542780698732kd7Pw_JPEG%2FtNWZBIDwP8B7vLYr9RZzQzFm.jpg,101,15,5,7,9.06
54,역전할머니맥주 장림점,4.55,,208,10,8,6,9.29
55,오시게,4.78,,29,3,1,3,9.14
56,맘스터치 부산장림점,4.26,,228,7,8,6,9.0
58,보배반점 장림점,4.3,,261,95,8,9,9.28
59,하나옛날통닭 장림점,4.24,,163,3,7,3,8.72
60,혜화동돈까스극장 부산사하점,4.55,,69,8,4,6,9.21
61,신라해장국 장림점,4.42,,220,36,8,9,9.4
62,하삼동커피 장림역점,4.45,,136,2,6,2,8.83
63,파리바게뜨 장림본동점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200111_237%2F15787184528666QKgA_JPEG%2FbfmGiQVL-0eVpgB4LCGujI4t.jpg,685,5,9,5,9.06
64,유가네닭갈비 장림점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_168%2F1582781176918XiVPI_PNG%2FSXlCZCIAbbp8qXO531FhjnsI.png,186,21,7,8,9.43
65,금빛코다리 부산장림점,4.21,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190613_30%2F1560396909388EmFCn_JPEG%2F4Fa77PwImZsle7zm06hQKZBt.JPG.jpg,246,17,8,7,9.03
66,토속정 삼계탕 &쭈꾸미,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171028_221%2F15091800281466U3Dp_JPEG%2FmnFMXalOGh8xZIpthHXtkx8r.jpg,33,2,2,2,9.06
67,족발의장인 족장 부산장림점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180911_239%2F1536643219284yBMaW_JPEG%2FWdIicSSo5fdtry3yxsvjfati.jpg,202,32,7,8,9.34
68,얌샘김밥 부산장림점,4.47,,151,1,7,0,8.71
69,대정수산 장림직영점,4.19,,176,55,7,9,9.15
