,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,영진돼지국밥 본점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190609_87%2F15600688014348k9LC_JPEG%2FsZ7ynYE6Kpl21gUTuv9tv3ey.jpg,2755,940,9,9,9.53
1,한우목장,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191201_25%2F15752043634037KAqp_JPEG%2FcLfMZFhTBySt7ffpmLs9Csn2.jpg,290,164,7,8,9.46
2,광식당,4.44,,200,83,6,7,9.22
4,정짓간 돼지국밥,4.45,,1138,179,9,8,9.37
5,송부장연탄갈비,4.41,,138,70,5,7,9.17
6,아이앤커피바,5.0,,38,50,1,6,9.6
7,신가네가야밀면칼국수,4.44,,346,56,7,6,9.16
8,명랑부대찌개&돈까스 신평점,4.65,,488,126,8,8,9.55
9,환성물회,4.49,,149,21,5,5,9.09
10,쁘띠롱,4.57,,121,10,4,4,9.07
11,홍소족발,4.41,,599,109,9,7,9.25
12,최가네촌국수,4.3,,565,128,8,8,9.2
13,밀양순대돼지국밥 부산본점,4.23,,664,84,9,7,9.07
14,애국돼지 신평점,4.31,,98,88,4,7,9.05
16,본죽 부산신평가락타운점,4.32,,218,6,6,3,8.78
17,계미가,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181226_59%2F1545806000774XlXkR_JPEG%2FLE6MNIgDZi0xp38DltMzFLdW.jpg,40,18,1,5,8.72
18,영성방,4.33,,110,56,4,6,8.99
19,황제맛짬뽕,4.34,,209,34,6,6,9.04
20,닭썸 신평점,4.55,,49,50,2,6,9.17
21,DDC치킨 신평점,4.43,,195,5,6,2,8.81
22,파리바게뜨 부산신평역점,4.34,,996,4,9,2,8.78
23,역전할머니맥주 부산신평역점,4.4,,217,4,6,2,8.78
24,삼박연탄갈비,4.83,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210927_130%2F1632715967190pDmBN_JPEG%2F29ljVW2L1qBVJ0ArfRkzA4md.jpg,66,12,3,4,9.31
25,이디야커피 신평역점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,233,7,6,3,8.78
26,옥이네 식당,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200218_166%2F1582027612768ifBwI_JPEG%2FP48YCAiangM_R8Ctwt_wOzgP.jpg,77,3,3,1,8.58
27,가마치통닭 부산 가락타운점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210702_77%2F1625210454127GJctk_JPEG%2F886YvWleHyGQ8EelTsOSOgQS.jpg,155,4,5,2,8.85
28,뚱삼이와대삼이 신평점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180103_214%2F1514958420151dWSEp_JPEG%2FiUK1V8XRJj8AeYkm-D5dBCaZ.jpg,162,13,5,4,8.97
