,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,국제밀면 본점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_35%2F1441027356543HcuVA_JPEG%2F156155406560651_0.jpg,2022,1179,9,9,9.42
1,소문난주문진막국수,4.35,,4270,1981,9,9,9.35
2,홍고기집 동래점,4.45,,93,315,1,9,9.29
4,공담,4.59,,382,399,7,9,9.55
5,골든리지,4.57,,1815,2001,9,9,9.57
6,주화담,4.57,,280,322,6,9,9.51
8,심야의미식가,4.45,,264,212,6,8,9.31
9,바른고기 홍고집 사직 본점,4.48,,149,173,3,7,9.2
10,삼대돼지불고기 2호점,4.35,,720,766,8,9,9.33
11,금강만두,4.43,,1949,602,9,9,9.43
13,띠리오,4.69,,459,485,8,9,9.67
14,쌍둥이돼지국밥,4.38,,852,253,9,8,9.3
15,대가삼계탕 오징어불고기,4.62,,339,235,7,8,9.5
16,여기제주도,4.86,,434,753,7,9,9.82
17,쿠마돈가스&라멘,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180831_186%2F1535675932651GtWap_JPEG%2FnW-gtY5UNXFtIF-r8nFIKSRO.jpg,189,68,4,3,9.06
18,흥안양꼬치,4.78,,149,296,3,8,9.58
19,도오코오,4.43,,185,160,4,7,9.17
21,사생활,4.84,,723,161,8,7,9.66
22,세연정,4.36,,1778,387,9,9,9.36
23,꼬미다,4.88,,98,131,1,6,9.48
25,가련한부엌,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_192%2F1441042415207Fph8D_JPEG%2FSUBMIT_1420146707993_36123982.jpg,464,397,8,9,9.48
