,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,서가원국수,4.66,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210217_36%2F16135320666049VCin_JPEG%2F%25C4%25E1%25B9%25B0%25BC%25AD%25B0%25A1%25BF%25F8.jpg,230,95,4,3,9.08
1,국제밀면 본점,4.42,,2022,1179,9,9,9.42
2,랑돼지,4.44,,198,469,3,9,9.32
4,시골통돼지볶음 부산연산점,4.39,,1382,728,9,9,9.39
6,맛고,4.87,,1453,289,9,8,9.79
7,수복돼지국밥,4.52,,1092,398,9,8,9.44
8,미우한우,4.58,,924,314,8,8,9.48
9,로타리양곱창센타,4.46,,219,210,4,7,9.2
10,사이먼커피,4.6,,395,339,6,8,9.46
11,오소리순대,4.37,,1080,516,9,9,9.37
12,소문난가야밀면,4.39,,771,666,8,9,9.37
13,골든리지 시청점,4.57,,1048,399,9,8,9.49
15,정성순대 본점,4.49,,728,1110,8,9,9.47
16,일월육일 연산점,4.81,,208,116,4,4,9.31
17,소제이 연산점,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200710_199%2F1594389620591y5RQn_JPEG%2FdwrMBJJLHOKfDxG0mDbEDhsc.jpeg.jpg,140,132,2,5,9.19
19,벌떼집,4.47,,306,115,5,4,8.99
20,골든리지,4.57,,1815,2001,9,9,9.57
21,진미원,4.37,,204,472,3,9,9.25
22,엄마의돼지국밥,4.56,,193,186,3,6,9.2
23,이영식옛날돈까스,4.54,,922,418,8,9,9.52
24,진송추어탕 부산시청점,4.4,,858,424,8,9,9.38
25,선정생한우,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160108_53%2F1452234806144z0A2V_JPEG%2F176058556345432_0.jpg,666,365,8,8,9.41
26,소믈리에,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220530_181%2F1653892920037z9Ntw_JPEG%2FP20220519_143329723_8536FF36-557B-472E-8151-7347D8D46810.jpg,349,436,6,9,9.53
27,동래옛날팥빙수,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171103_250%2F15096986783618oCag_JPEG%2FHW2oxNFbWxao7Pbpx9_WHFcf.jpg,602,197,8,7,9.34
28,평사리순두부,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160520_238%2F1463733471460989az_JPEG%2F176467493952582_0.jpeg,478,118,7,4,9.03
30,현풍닭칼국수 부산시청점,4.45,,635,103,8,3,8.95
31,마포본가,4.41,,293,744,5,9,9.33
33,최가네엄마돼지국밥,4.39,,713,793,8,9,9.37
34,고등어다찌 연산본점,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220621_90%2F1655805787629iJXdF_JPEG%2F20220621_190249.jpg,272,307,5,8,9.51
36,시라가,4.79,,34,136,0,5,9.29
37,술곳간,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190820_68%2F15662913947064SFMV_JPEG%2F9zc6ukcaWHIMj7lCuGllqhRq.jpg,150,111,2,4,9.03
