,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,60년전통할매국밥,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA4MjlfMjcy%2FMDAxNTAzOTY3OTQxMTAx.fUT0-nmKHhmzY4K_h0Rpvl949d-eACehBDSfnNUoozog.xCEkXwD3KTOGApUrbLY2bgGEXx3r1wC5XmOAhrxrpp0g.JPEG.kimsw-1013%2FKakaoTalk_20170824_124917174.jpg,1620,1516,9.23
1,가가와,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_5%2F1649831130810XtHxn_JPEG%2FIMG_6371.JPG,1007,1035,9.33
2,원조범일동매떡,4.27,,993,1194,9.07
3,범일빈대떡,4.48,,543,312,9.02
4,신선식당,4.28,,606,329,8.89
5,원조할매낙지,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190114_231%2F1547453902354Pa8Sc_JPEG%2FnSTFjmFR0TAkX0jVh6dK-xSZ.jpg,1720,731,9.23
6,칼질천번,4.4,,516,281,8.91
7,야끼도리정,,,114,35,
8,밥상극장,4.43,,116,141,8.53
9,감포참가자미,4.39,,335,69,8.7
10,마산식당,4.38,,942,242,9.03
11,골목집,4.48,,199,100,8.58
12,코소롱,,,671,435,
13,석화한정식,4.5,,179,162,8.6
14,조방숯불곱창,4.37,,415,260,8.81
15,만만고기,,,74,45,
16,Auriver,5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211230_164%2F1640844919375hvT2X_JPEG%2FP1059366.jpg,59,20,9.1
17,더파티 범일점,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171130_41%2F1512021256002vtKLp_JPEG%2Fimage.JPEG,200,481,8.69
18,어랑,4.38,,203,21,8.62
19,고향통닭,4.43,,312,91,8.74
20,밀양가산돼지국밥,4.43,,819,206,9.08
21,매운 양재기찜갈비,4.46,,230,45,8.7
22,옛날구포집,4.28,,299,127,8.52
23,철마한우식육식당,4.55,,172,26,8.65
24,만수스시,4.19,,57,134,8.29
25,용꿈,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170126_250%2F14853967599861hY0i_JPEG%2F186076514259255_0.jpeg,42,87,8.42
26,가미스시,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171123_128%2F15114038051936Gs1S_JPEG%2FWCbQyt_RmQxcXKn0gSMUFCqN.JPG.jpg,407,118,8.85
27,수복포차,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_212%2F1441024372725IjM2L_JPEG%2FSUBMIT_1434203844484_35823725.jpg,38,17,8.57
28,창현수산,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_275%2F1548928610994WUgU7_JPEG%2F8iJVufGA7TLPnllAdkcnGfUs.jpg,87,53,8.59
29,초원복국,4.25,,378,68,8.56
30,방콕식당,4.76,,82,28,8.86
31,큐미정,3.99,,50,37,8.09
32,범천집목구이,4.52,,159,140,8.62
33,무봤나세발낙지,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210117_141%2F1610811368128VTD9j_JPEG%2Fimage.jpg,58,50,8.67
34,소문난구포집,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171222_15%2F1513907280461o70vu_JPEG%2FjawBmB0nA8FfZRz8n6fsZ4Tz.jpg,167,20,8.52
35,서면칼국수,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170816_41%2F1502886621981gwlOn_JPEG%2FBfEK0oijeUrj6iP746sZeJcE.jpg,273,33,8.48
36,강원도산골손칼국수,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_300%2F1441018736135Aa9k3_JPEG%2F116152516662752_0.jpg,268,92,8.61
37,박민후대구탕본점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_196%2F14409877226564sXse_JPEG%2F137058633053689_0.jpeg,275,67,8.69
38,조방제일한우,4.38,,734,188,8.9
39,조방낙지 범일직영점,4.43,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fblogfiles.naver.net%2F20141204_292%2Fkkimjhyeon_14176589828380cF5Y_JPEG%2F20141127_195136.jpg,1041,232,9.08
40,산청보리밥,4.24,,100,10,8.34
41,전통본가밀면,4.28,,353,76,8.59
42,해뜰마루감자탕범일본점,4.45,,675,210,9.03
43,대지숯불갈비,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191015_218%2F1571123051595AywLS_JPEG%2FWpSOC1U75sNdpbn2Els8Py1s.jpg,283,223,8.76
44,골목게장,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201109_174%2F1604909341277Cky6b_PNG%2FSG17oRxvDB1BYyTpdVBOqRLW.png,112,35,8.88
45,청림식당,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200504_4%2F1588565111114V7qoK_JPEG%2FV5fXIP0thzPpuZqwyJKq0EyA.jpg,235,77,8.54
46,육회실장,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_91%2F1608286018491v6grx_JPEG%2F7U7W6fLqOP3JE9bT5ybyIz0L.jpg,74,18,8.62
47,부산정,4.58,,83,124,8.68
48,양산도 현대백화점부산점,4.51,,457,149,8.89
49,연돼지국밥 범천점,4.38,,195,28,8.48
50,미식가의구이2호점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180402_193%2F15226360350980Qno7_JPEG%2FRWlvz47CPJ821TFkuRdKPAiB.JPG.jpg,239,152,8.58
51,길 세이로무시 범일점,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201020_137%2F16031850818188I4rq_JPEG%2FSGM2-GDplgJz6isy_529tL2-.jpg,358,304,9.01
52,빨간병아리 서면본점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200414_235%2F1586816796978C8Eqe_JPEG%2FByMpHvHqI-dNd-FBhGxojtXe.jpg,96,96,8.59
53,은화수식당 범일동점,4.27,,184,62,8.37
54,봉평대가,4.29,,275,16,8.53
55,오복미역 조방점,4.34,,339,28,8.65
56,저스트커피 범천점,4.54,,19,90,8.64
57,현대포장마차,4.63,,45,40,8.73
58,진영곱창,4.55,,191,64,8.65
59,776마제소바,,,40,16,
60,오소리순대,4.09,,109,27,8.19
61,굽네치킨 부산범천점,4.62,,,8,
62,파리바게뜨 부산범내골점,4.41,,1529,16,9.07
63,민속촌,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200605_11%2F1591320000306qSC5C_JPEG%2FkTV6Q5OHTfISyZuM3rv0MkkK.jpg,141,89,8.48
64,까다로운 닭갈비,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200612_116%2F1591924378271cCFgR_JPEG%2FuXWEwA-0jOiv6-zGquEcOY4f.jpg,67,31,8.62
65,백산키친,4.52,,139,386,8.71
66,스콘티,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220418_285%2F1650262811367TDxl4_JPEG%2F1650262775918.jpg,28,12,
67,일생상회 부산본점,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181121_34%2F1542808385074zIKqN_PNG%2FxXEFvMOD0nxl9YrQ-bJj4fU-.png,125,183,8.68
68,그린키친,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190507_24%2F155716127461396oV0_JPEG%2F1bVnunLDNN5hvTCXjgwvHkOm.jpeg.jpg,143,28,8.71
69,오별난멸치국수 범일점,4.46,,522,175,8.91
70,옥숙이손칼국수,4.37,,196,89,8.47
71,감성사시미 어랑,4.42,,102,67,8.52
72,BHC치킨 부산범내골점,4.47,,,33,
73,곱창특공대,4.46,,79,186,8.56
74,와우신내떡 부산범천점,4.45,,63,34,8.55
75,원조명태갈비찌짐,4.39,,148,12,8.49
76,팔도통닭,4.67,,175,96,8.77
77,황금고래촌,4.39,,78,45,8.49
78,마루양곱창,4.34,,169,48,8.44
79,황금밀면 범천동본점,4.27,,376,41,8.58
80,맥도날드 범일SK DT점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODEyMDhfMTU5%2FMDAxNTQ0MjU0ODUxNzgz.1JyoZ7DHuqqNMUk0w-ciYhR1I8HD_P4sEAISumiTv0kg.Y3oZj21olGCrgh8rrHmOzQAe41p7q46oCVEzW0Wvq1Eg.JPEG.sjane01%2FIMG_4220.jpg,5548,113,9.18
81,신향양다리구이,4.54,,147,47,8.64
82,일차횟집,4.1,,122,87,8.2
83,하누소뒷고기 범일점,4.47,,177,76,8.57
84,집밥한그릇,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200410_115%2F1586518383944T3uG9_JPEG%2FsmYuHxXMccNqWZRT6qAI_rWp.jpg,174,9,8.52
85,돈짱맛짱,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191030_17%2F1572409405157v9CSq_JPEG%2Fo6ohLJZi4a8dlQYfbiBXnjgM.JPG.jpg,141,8,8.39
86,전주해장원,4.52,,122,43,8.62
87,KFC 부산지오21,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200702_262%2F1593681490773kBUVT_JPEG%2FKFC_%25C0%25CC%25B9%25CC%25C1%25F6.jpg,1899,57,9.03
88,사계절밀면칼국수,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171226_137%2F1514259146026HwcIX_JPEG%2FiIpjveXFvcSeR32bLiTKXefh.jpg,290,28,8.67
89,조방왕돈까스,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2F20141016_266%2Fehlsj_1413441081245d9mpC_JPEG%2F20141001_120136.jpg,660,125,9.1
90,파리바게뜨 부산금융단지점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_135%2F1649840398505IV9jW_PNG%2Fimage.png,1347,7,9.06
91,인얼스커피 현대백화점 부산점,4.44,,472,27,8.82
92,장수한방오리삼계탕,4.55,,59,55,8.65
93,랑만 현대백화점 부산점,,,48,42,
94,골드크랩,4.43,,86,37,8.53
95,먹고식당,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191210_76%2F1575942331702rEkLA_JPEG%2Fz1OWTNNaKeTWLVajpNs8WOUi.jpg,169,22,8.37
96,대도맛도둑,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220121_67%2F1642753578532k9IPh_JPEG%2FP20211210_101559238_35DE49ED-5472-49EE-BDB4-7EB1C7F6A1CE.jpg,165,357,8.83
97,밥상앤쿡,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190224_62%2F15509846173170fgR7_JPEG%2FNViFxpodpFtPWdZLSijYkbxW.jpg,12,9,
98,갈매기식당,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170326_237%2F1490456555367xc3Rq_PNG%2F186276407254392_0.png,46,5,8.58
99,윤이불닭발,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220309_13%2F1646809566238qIPMu_JPEG%2Fimage.jpg,1,75,
100,설빙 범일점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200701_49%2F1593586364808RCGLl_JPEG%2F_MQvGuN7tuMuWcQatO5aes7n.jpg,1067,28,9.07
101,국제오징어,4.25,,110,59,8.35
102,루나커피,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191229_28%2F1577610735911NOa4l_JPEG%2FmLWhrq9ANzuhv6N-MOe33hir.jpg,120,27,8.59
103,송죽일식,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180910_80%2F1536547607703uT76z_JPEG%2FH66xS5l91jBqUMQCL2lxD3fW.jpg,77,108,8.55
104,범내골커피,4.28,,383,54,8.59
105,투썸플레이스 부산문현금융단지점,4.26,,575,39,8.71
106,써브웨이 부산범일점,4.42,,741,15,8.94
107,클레이디뷔페,,,11,126,
108,한마당 통영숯불 장어구이,4.38,,165,,
109,고려홍삼삼계탕,4.45,,512,141,8.9
110,합천식당,4.44,,55,45,8.54
111,날마다대박나는집 범일점,4.43,,322,46,8.74
112,장춘족발,4.26,,242,36,8.5
113,고메회초밥,4.61,,29,7,8.71
114,홍두깨칼국수,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211011_84%2F1633926773569mcAw9_JPEG%2FrE6d0EHeuaqZJK5FQIEMFdnW.jpeg.jpg,207,31,8.7
115,불막열삼 범천점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201118_129%2F1605673787499NtXE7_PNG%2FZ0ae-oi-03IjHsj6emcK5r1u.png,90,14,8.5
116,보리에식빵,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200109_35%2F1578552975771XQaPT_JPEG%2FSMFzMVR3TUl6w_LlhD_w8TXi.jpg,565,19,8.77
117,본죽 범내골역점,4.21,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210910_267%2F1631251422069sVCzx_JPEG%2Ffj-rT0LKvOcH2RQHzvUciHrd.jpg,170,15,8.31
118,참숯골,4.26,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190127_209%2F1548584589814MICYi_JPEG%2FEsmA1JjuMQeN5KUgeVdAgJNO.jpeg.jpg,632,90,8.78
119,만성상회 민물장어직판장,,,5,119,
120,한돈숙성왕소금구이 범일본점,4.42,,293,155,8.66
121,동촌황정순수육전골,4.41,,110,53,8.51
122,유연생고기전문점,4.43,,343,72,8.74
123,츠키노준,4.32,,35,15,8.42
124,커피에반하다 부산황령대로점,4.71,,94,7,8.81
125,청개구리포차,4.85,,43,16,8.95
126,이디야커피 부산범내골역점,4.41,,335,5,8.72
127,흥미원,4.39,,324,49,8.7
128,꾸다케이크,4.94,,47,133,9.04
129,미돈,4.26,,125,51,8.36
130,꼬꼬뱅 본점,4.55,,141,129,8.65
131,대수정,4.39,,448,54,8.77
132,투썸플레이스 서면지오플레이스점,4.41,,235,18,8.65
133,만리방,4.24,,157,10,8.34
134,한솥도시락 범냇골로타리점,4.36,,222,3,8.6
135,블루샥 범일,4.32,,198,28,8.42
136,메가커피 부산범천점,4.63,,191,6,8.73
137,바우네나주곰탕 범일점,4.49,,175,13,8.59
138,베러먼데이 범내골점,4.42,,449,11,8.8
139,현미아구찜,4.4,,192,19,8.5
140,정담칼국수,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220425_47%2F1650859463832uy3iT_JPEG%2FBandPhoto_2020_12_02_19_59_26.jpg,38,3,8.44
141,장어촌,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190127_3%2F1548584705077jIyg2_JPEG%2FgAZyPMl-HpiR-tt5iWIS5TcO.jpeg.jpg,186,26,8.38
142,투썸플레이스 부산범일점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200504_110%2F1588547063950OuQuF_JPEG%2FVDbssEWxZvwr_LFT14eO0ZZM.jpg,711,33,
143,장수촌24시순대돼지국밥,4.39,,924,46,8.98
144,논답,,,8,34,
145,깐부치킨 부산범천점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_34%2F1441070476437jMw1k_PNG%2F146965554169863_0.png,49,13,8.63
146,교촌치킨 범일1호점,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_64%2F1441043073169DUdRY_JPEG%2F116659505765354_0.jpg,,8,
147,매운떡볶이,,,8,28,
148,중앙숯불갈비,4.14,,173,44,8.24
149,대가밀면,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191004_196%2F15701529773679CTXS_JPEG%2FgBGpdosVastqSq-C1fTqCR2C.jpg,116,13,8.38
