,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,원조범일동매떡,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20161029_271%2F14776752037571tRDb_JPEG%2FMessage_1476925076979.jpg,993,1194,9.07
1,범일빈대떡,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20170218_170%2F14874150686357VDc0_JPEG%2FIMG_3546.jpg,543,312,9.02
2,원조순대집,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180702_198%2F15304997833974yylQ_JPEG%2F1b7o-BenX-QfFVDhcrcuiD_1.jpg,,13,
3,네살차이,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201025_201%2F1603629254230kBWKY_JPEG%2F4A2Baym6OhsMZuWMPn5mJSIL.jpeg.jpg,567,1131,9.31
4,오륙도낙지 범일본점,4.44,,239,83,8.68
5,Auriver,5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211230_164%2F1640844919375hvT2X_JPEG%2FP1059366.jpg,59,20,9.1
6,큐미정,3.99,,50,37,8.09
7,신흥관,4.7,,50,10,8.8
8,장수밀면본점,4.27,,228,15,8.51
9,카페 일로,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210228_92%2F1614477720005xkeTY_JPEG%2FuV4k-KTjJWnjUWsv_xOrN8qk.jpg,215,49,8.79
10,할매곱창집,4.48,,160,58,8.58
11,굽네치킨 부산범천점,4.62,,,8,
12,우리동네168,4.61,,256,22,8.85
13,태화통닭,4.42,,53,62,8.52
14,39아구찜,4.4,,87,14,8.5
15,웅복,4.45,,70,18,8.55
16,정일품식육식당,4.41,,477,54,8.79
17,조방돼지국밥,4.33,,117,6,8.43
18,그나비,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211217_178%2F1639709138945AXoc4_JPEG%2F20211216_101917.jpg,1,11,
19,카페카라카,4.88,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201119_91%2F1605781333653eoDd6_JPEG%2F46Q8hkZ9DpTgYtOuTbqcoojB.jpg,23,11,8.98
20,본죽 부산진역점,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210910_267%2F1631251422069sVCzx_JPEG%2Ffj-rT0LKvOcH2RQHzvUciHrd.jpg,417,8,8.85
21,Cafe 가볍고복잡한,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190408_75%2F1554692369360W3wH3_JPEG%2Fnyjt11nlmEoO0-eiNuSyUjUm.jpg,38,25,8.82
22,미조,4.19,,130,18,8.29
23,옥숙이손칼국수,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_170%2F15933995460302xUY2_JPEG%2FluJXF8pxaIL7gVEaczlNE8ZG.jpg,196,89,8.47
24,좌천집,4.75,,22,7,8.85
25,대청 현대백화점부산점,4.42,,619,42,8.94
26,이대충무할매김밥,4.33,,349,4,8.64
27,사거리만두,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181221_135%2F1545366827769C6wBN_PNG%2FyZ3lmshmlTFt5SaMsbGrzsPk.png,12,6,8.3
28,마라소호,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210129_19%2F1611846989125gHUD1_JPEG%2FmAQYTAH3xXl6fSC9odZHo6_e.jpeg.jpg,56,4,8.86
29,준마참치,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200117_71%2F1579259403678P0Yrh_JPEG%2Fnz4WFlL7Fm4krlABqc1qiiFI.jpg,28,6,8.68
30,양산도 현대백화점부산점,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200413_277%2F1586749913446JgPGk_JPEG%2FmYSdn0toVFUO757WXRt8rnLF.jpg,457,149,8.89
31,명성횟집,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200428_36%2F1588081111388gXhFK_JPEG%2F6PsXd17a73eVYE-WweE18oLV.jpg,406,296,8.68
32,영주한우숯불갈비,4.25,,271,21,8.49
33,하삼동커피 부산진역점,4.42,,397,3,8.73
34,철마한우곰탕,4.44,,137,30,8.54
35,할매떡볶이,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190722_7%2F1563757162102R0lNp_JPEG%2FmRwzpyEJBJeDpLsnyB68frWA.jpg,3,3,
