,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,이재모피자,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_184%2F1443161063734QvxiG_JPEG%2F166875553438619_0.jpg,4997,3250,9.5
1,백화양곱창,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_267%2F1443162416138UpBDv_JPEG%2F166875555671753_7.jpg,274,1645,8.79
2,할매가야밀면,4.34,,1797,1905,9.24
3,18번완당집,4.35,,1859,1255,9.25
4,백호상회,4.22,,133,645,8.5
5,부산족발,4.36,,3057,1571,9.33
6,부산명물횟집,4.14,,380,429,8.57
7,원산면옥,4.1,,1001,631,8.87
8,이가네떡볶이,4.25,,2060,1758,9.22
9,뚱보집,4.44,,799,534,9.18
10,부산꼼장어맛집성일집,4.41,,478,453,8.91
11,수복센타,4.46,,359,284,8.83
12,공순대,4.39,,535,507,8.99
13,커피네루다,4.7,,536,169,9.15
14,일미밀면,4.61,,253,93,8.85
15,양산집,4.43,,534,386,8.97
16,스톤스트리트 남포점,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_290%2F1647872855782slqBL_JPEG%2FResized_1646224493831-4.jpeg,1077,869,9.41
17,제일산꼼장어장어구이,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_14%2F1441040062186AJo4B_JPEG%2F96772538367908_0.jpg,682,337,8.9
18,김해식당,4.34,,348,174,8.65
19,삼송초밥,4.34,,447,608,8.9
20,대정양곱창,4.57,,720,1134,9.3
21,라발스 스카이 카페&바 부산 라발스호텔점,4.4,,838,553,9.14
22,개미집 본점,4.26,,1125,892,9.06
23,노티스,4.46,,582,895,9.12
24,연경재,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201110_87%2F1604992979433P2alG_JPEG%2FX1h06PYL7fpXcpTr5xMiojWj.jpeg.jpg,1790,766,9.37
25,세정,4.48,,457,514,9.01
26,루흐,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211205_129%2F1638665036854ASbSW_JPEG%2F79C7D3AF-7C06-4D7C-8496-362F562ACB11.jpeg,443,548,9.16
27,돌쇠장작구이,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210113_261%2F1610473038984hrT0h_JPEG%2FlMd5gzrU06JWXTSkhOFK6xgf.jpg,505,275,9.05
28,부산횟집,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191104_162%2F1572848930268Fqe3n_JPEG%2FiS9peH000RJfUZsLH3jOI0fi.JPG.jpg,145,1259,8.64
29,새옹지마,4.53,,46,489,8.75
30,한월횟집,4.29,,1176,1107,9.09
31,거인통닭,4.37,,1938,1039,9.24
32,상짱,4.59,,777,430,9.3
33,카마타케제면소 부산남포점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_137%2F1443162645615Dsv8D_JPEG%2F166875556063749_0.jpg,424,448,8.88
34,중앙모밀,4.41,,980,589,9.15
35,홍유단 남포본점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200704_40%2F1593818421826KKXNY_JPEG%2Fi4iJ7Y_-Q5KljT6SZDigREYM.jpg,1035,287,9.22
36,이찌,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191029_40%2F157231457623123WoM_JPEG%2FL0FOU5rfR5NXVfEWX29x8rwp.jpg,179,266,8.68
